scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S5,local,50,50.000,3.4855,7.4781
S5,local,100,100.033,2.8779,7.2010
S5,local,150,150.000,2.5103,6.7758
S5,local,200,200.000,2.1764,5.5695
S5,local,250,250.033,2.0125,4.7430
S5,local,300,300.033,1.9758,5.1870
S5,local,350,350.000,2.1438,8.3362
S5,local,400,399.933,4.7024,91.1001
S5,local,450,449.533,5.2173,78.0437
S5,local,500,500.033,2.2721,11.2790
S5,local,550,550.033,3.8557,49.5680
S5,local,600,600.000,2.9171,21.2785
S5,local,650,650.033,2.7832,19.6770
S5,local,700,700.033,2.9112,20.6980
S5,local,750,750.033,5.2001,76.7680
S5,local,800,800.033,8.5184,103.1160
S5,local,850,850.033,19.5997,142.5870
S5,local,900,897.433,28.3395,301.1357
S5,local,950,940.967,88.3544,504.3912
S5,local,1000,990.000,104.7043,597.4208
