TIMESTAMP,POD,CPU,MEMORY
2025-11-17T23:35:36,ingress-nginx-controller-6ccdb49bd4-vwfs4,33m,142Mi
2025-11-17T23:35:41,service-a-deployment-6bd85fb6c9-crbb6,38m,57Mi
2025-11-17T23:35:41,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:35:41,ingress-nginx-controller-6ccdb49bd4-vwfs4,33m,142Mi
2025-11-17T23:35:46,service-a-deployment-6bd85fb6c9-crbb6,38m,57Mi
2025-11-17T23:35:46,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:35:46,ingress-nginx-controller-6ccdb49bd4-vwfs4,33m,142Mi
2025-11-17T23:35:51,service-a-deployment-6bd85fb6c9-crbb6,3m,57Mi
2025-11-17T23:35:51,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:35:51,ingress-nginx-controller-6ccdb49bd4-vwfs4,4m,141Mi
2025-11-17T23:35:56,service-a-deployment-6bd85fb6c9-crbb6,3m,57Mi
2025-11-17T23:35:56,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:35:56,ingress-nginx-controller-6ccdb49bd4-vwfs4,4m,141Mi
2025-11-17T23:36:01,service-a-deployment-6bd85fb6c9-crbb6,3m,57Mi
2025-11-17T23:36:01,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:36:01,ingress-nginx-controller-6ccdb49bd4-vwfs4,4m,141Mi
2025-11-17T23:36:07,service-a-deployment-6bd85fb6c9-crbb6,0m,57Mi
2025-11-17T23:36:07,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:36:07,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,141Mi
2025-11-17T23:36:12,service-a-deployment-6bd85fb6c9-crbb6,0m,57Mi
2025-11-17T23:36:12,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:36:12,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,141Mi
2025-11-17T23:36:17,service-a-deployment-6bd85fb6c9-crbb6,0m,57Mi
2025-11-17T23:36:17,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:36:17,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,141Mi
