scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S8,local,50,50.033,2.6795,6.6030
S8,local,100,100.000,3.3665,14.0657
S8,local,150,150.000,5.0980,31.6140
S8,local,200,200.033,2.7057,10.7010
S8,local,250,250.033,3.1127,16.6220
S8,local,300,299.900,3.9483,31.0846
S8,local,350,350.000,2.3746,11.6141
S8,local,400,400.033,3.5207,19.6740
S8,local,450,450.033,2.8344,17.9960
S8,local,500,500.033,3.4056,25.5900
S8,local,550,550.033,3.6429,28.5350
S8,local,600,600.033,9.8704,107.1370
S8,local,650,649.600,8.6232,93.0054
S8,local,700,699.700,8.0979,89.3683
S8,local,750,750.033,8.9316,86.7890
S8,local,800,799.433,9.1293,80.0373
S8,local,850,850.033,11.1322,113.4130
S8,local,900,897.633,16.7613,229.6494
S8,local,950,950.000,17.2012,147.5742
S8,local,1000,997.933,20.7080,220.6421
