macro,value,source_file
VrHsStringDescHundredMean,607.78,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescHundredPFifty,562.23,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescHundredPNinetyNine,1188.73,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTenCount,1800,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTenLoad,2.42,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTenMean,1017.34,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTenPFifty,1047.25,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTenPNinetyNine,2495.71,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTwentyFiveCount,4500,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTwentyFiveLoad,2.60,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTwentyFiveMean,934.47,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTwentyFivePFifty,988.97,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTwentyFivePNinetyNine,2461.91,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTwoHundredCount,36000,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTwoHundredLoad,3.95,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTwoHundredMean,532.50,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTwoHundredPFifty,475.25,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescTwoHundredPNinetyNine,1162.25,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrPassAgreementPct,10.7,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrRatioFifty,6.0,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrRatioFive,4.2,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrRatioFourHundred,11.5,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrRatioHundred,7.2,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrRatioTen,4.2,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrRatioTwentyFive,5.5,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrRatioTwoHundred,6.9,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrRsPreparsedAscFiftyCount,9000,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFiftyLoad,1.22,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFiftyMean,203.19,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFiftyPFifty,146.25,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFiftyPNinetyNine,592.18,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFiveCount,901,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFiveLoad,2.77,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFiveMean,351.05,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFivePFifty,333.92,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFivePNinetyNine,1066.33,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFourHundredCount,72001,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFourHundredLoad,4.02,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFourHundredMean,59.11,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFourHundredPFifty,61.35,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscFourHundredPNinetyNine,149.57,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscHundredCount,17989,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscHundredLoad,1.48,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscHundredMean,120.42,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscHundredPFifty,91.67,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscHundredPNinetyNine,551.55,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTenCount,1801,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTenLoad,2.74,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTenMean,338.89,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTenPFifty,321.54,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTenPNinetyNine,1092.64,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTwentyFiveCount,4500,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTwentyFiveLoad,2.77,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTwentyFiveMean,270.77,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTwentyFivePFifty,278.22,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTwentyFivePNinetyNine,595.35,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTwoHundredCount,36001,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTwoHundredLoad,2.06,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTwoHundredMean,73.92,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTwoHundredPFifty,64.65,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedAscTwoHundredPNinetyNine,351.86,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFiftyCount,9000,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFiftyLoad,3.29,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFiftyMean,193.82,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFiftyPFifty,141.50,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFiftyPNinetyNine,590.01,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFiveCount,900,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFiveLoad,1.87,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFiveMean,292.11,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFivePFifty,300.68,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFivePNinetyNine,599.32,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFourHundredCount,72001,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFourHundredLoad,3.32,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFourHundredMean,58.88,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFourHundredPFifty,61.41,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescFourHundredPNinetyNine,149.67,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescHundredCount,18001,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescHundredLoad,4.07,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescHundredMean,111.88,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescHundredPFifty,93.64,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescHundredPNinetyNine,546.44,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTenCount,1800,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTenLoad,2.62,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTenMean,286.13,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTenPFifty,281.79,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTenPNinetyNine,927.27,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTwentyFiveCount,4501,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTwentyFiveLoad,2.12,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTwentyFiveMean,251.70,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTwentyFivePFifty,245.76,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTwentyFivePNinetyNine,594.08,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTwoHundredCount,36001,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTwoHundredLoad,3.00,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTwoHundredMean,73.94,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTwoHundredPFifty,64.60,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrRsPreparsedDescTwoHundredPNinetyNine,349.40,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrSavedFifty,631.38,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrSavedFive,706.82,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrSavedFourHundred,413.44,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrSavedHundred,491.89,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrSavedTen,741.27,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrSavedTwentyFive,750.10,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrSavedTwoHundred,423.23,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
