macro,value,source_file
MbHsHalfKbResidual,23.63,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbResidualPct,90.9,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbDecode,1.355,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbFull,28.67,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbIterations,180000,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbPrimitive,1.904,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbPrimitivePct,6.6,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbResidual,25.41,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbResidualPct,88.6,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbDecode,2.009,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbFull,34.31,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbIterations,180000,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbPrimitive,12.422,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbPrimitivePct,36.2,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbResidual,19.88,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbResidualPct,57.9,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbDecode,0.894,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbFull,29.00,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbIterations,180000,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbPrimitive,11.159,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbPrimitivePct,38.5,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbResidual,16.95,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbResidualPct,58.4,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbDecode,1.353,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbFull,30.90,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbIterations,180000,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbPrimitive,12.028,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbPrimitivePct,38.9,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbResidual,17.51,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbResidualPct,56.7,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbWorstStageSpreadPct,12.6,data/runs/2026-09-13T20-34-41Z-microbench/microbench.spread.txt
Ten,10,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
TightKeyRatio,43.1,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
TightPreparsed,9.63,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
TightString,415.43,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
TwentyFive,25,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
TwoHundred,200,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
VrAlgRatioFifty,1.60,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrAlgRatioFive,1.59,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrAlgRatioFourHundred,1.50,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrAlgRatioHundred,1.51,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrAlgRatioTen,1.44,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrAlgRatioTwentyFive,1.61,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrAlgRatioTwoHundred,1.03,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrConvPctFifty,83,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrConvPctFive,76,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrConvPctFourHundred,91,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrConvPctHundred,86,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrConvPctTen,76,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrConvPctTwentyFive,82,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrConvPctTwoHundred,86,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsPreparsedAscFiftyCount,9001,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFiftyLoad,2.70,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFiftyMean,127.19,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFiftyPFifty,100.26,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFiftyPNinetyNine,482.59,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFiveCount,901,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFiveLoad,3.95,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFiveMean,221.42,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFivePFifty,198.83,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFivePNinetyNine,597.25,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFourHundredCount,72001,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFourHundredLoad,5.33,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFourHundredMean,39.38,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFourHundredPFifty,32.18,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFourHundredPNinetyNine,243.73,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscHundredCount,17993,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscHundredLoad,2.41,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscHundredMean,79.70,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscHundredPFifty,59.05,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscHundredPNinetyNine,358.02,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTenCount,1801,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTenLoad,2.58,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTenMean,235.01,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTenPFifty,205.01,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTenPNinetyNine,1058.47,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTwentyFiveCount,4500,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTwentyFiveLoad,3.98,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTwentyFiveMean,168.44,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTwentyFivePFifty,145.68,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTwentyFivePNinetyNine,569.10,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTwoHundredCount,36001,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTwoHundredLoad,4.88,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTwoHundredMean,71.68,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTwoHundredPFifty,49.63,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscTwoHundredPNinetyNine,408.52,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFiftyCount,9001,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFiftyLoad,2.53,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFiftyMean,116.67,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFiftyPFifty,88.18,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFiftyPNinetyNine,327.55,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFiveCount,901,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFiveLoad,2.35,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
