macro,value,source
HostSafePatchSaving,22.71,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostSafePatchSavingCiHi,22.88,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostSafePatchSavingCiLo,22.54,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostSafePatchSavingRounds,15,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostStringPenalty,23.92,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostStringPenaltyCiHi,24.00,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostStringPenaltyCiLo,23.58,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostStringPenaltyRounds,15,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostTimerOverhead,0.042,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostTimerOverheadCiHi,0.04,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostTimerOverheadCiLo,0.04,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
IdentityMismatches,0,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/environments.csv
ManifestCounterFiles,191,survey/data/corpus_manifest.csv
ManifestFiles,502,survey/data/corpus_manifest.csv
ManifestHeadResolved,501,survey/data/corpus_manifest.csv
ManifestRepos,457,survey/data/corpus_manifest.csv
ManifestSampleFiles,311,survey/data/corpus_manifest.csv
MatrixCallsPerInvocation,20000,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
MatrixCvMax,20.2,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
MatrixCvMaxCondition,probe\_succeeds,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
MatrixCvMaxEnvironment,node:26.6.0-bookworm,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
MatrixCvRatio,5.7,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
MatrixInvocations,10,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenDecodeOnly,1.62,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenHmacString,2.42,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenImageId,8d6421d663b4,data/runs/runtime_identity.csv
NodeEighteenJwtPreparsed,7.58,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenJwtString,394.71,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenNodeLiteral,18.20.8,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenNodeMajor,18,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenOpensslLiteral,3.0.16,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenOpensslSeries,3.0,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenProbeSucceeds,115.83,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenProbeThrows,373.79,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenProbeThrowsCiHi,375.79,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenProbeThrowsCiLo,371.50,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenVeight,10,data/runs/runtime_identity.csv
NodeEighteenVeightFull,10.2.154.26-node.39,data/runs/runtime_identity.csv
NodeTwentyDecodeOnly,2.19,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyHmacString,2.33,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyImageId,fb4cd12c85ee,data/runs/runtime_identity.csv
NodeTwentyJwtPreparsed,7.25,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyJwtString,437.40,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyNodeLiteral,20.20.2,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyNodeMajor,20,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyOpensslLiteral,3.0.19,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyOpensslSeries,3.0,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyProbeSucceeds,142.38,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyProbeThrows,420.62,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyProbeThrowsCiHi,422.56,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyProbeThrowsCiLo,419.52,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixGlibcDecodeOnly,1.67,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixGlibcHmacString,3.19,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixGlibcImageId,6e0a69f43d2b,data/runs/runtime_identity.csv
NodeTwentySixGlibcJwtPreparsed,6.04,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixGlibcJwtString,27.96,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixGlibcNodeLiteral,26.6.0,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixGlibcNodeMajor,26,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixGlibcOpensslLiteral,3.5.7,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixGlibcOpensslSeries,3.5,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixGlibcProbeSucceeds,12.12,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixGlibcProbeThrows,16.58,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixGlibcProbeThrowsCiHi,17.88,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixGlibcProbeThrowsCiLo,16.38,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixGlibcVeight,14,data/runs/runtime_identity.csv
NodeTwentySixGlibcVeightFull,14.6.202.34-node.26,data/runs/runtime_identity.csv
NodeTwentySixMuslDecodeOnly,1.71,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixMuslHmacString,3.25,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixMuslImageId,a4fb14143ee2,data/runs/runtime_identity.csv
NodeTwentySixMuslJwtPreparsed,6.56,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixMuslJwtString,36.42,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixMuslNodeLiteral,26.6.0,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixMuslNodeMajor,26,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixMuslOpensslLiteral,3.5.7,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixMuslOpensslSeries,3.5,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixMuslProbeSucceeds,15.54,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixMuslProbeThrows,22.94,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixMuslProbeThrowsCiHi,23.29,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixMuslProbeThrowsCiLo,22.79,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentySixMuslVeight,14,data/runs/runtime_identity.csv
NodeTwentySixMuslVeightFull,14.6.202.34-node.26,data/runs/runtime_identity.csv
NodeTwentyVeight,11,data/runs/runtime_identity.csv
NodeTwentyVeightFull,11.3.244.8-node.38,data/runs/runtime_identity.csv
PopBestCellPct,0.0000,survey/data/population_counts.csv
PopCapturedAt,2026-09-18,survey/data/population_counts.csv
PopJsImportFiles,524288,survey/data/population_counts.csv
PopJsImportKeyObject,38,survey/data/population_counts.csv
PopJsImportPct,0.0072,survey/data/population_counts.csv
PopJsRequireFiles,790528,survey/data/population_counts.csv
PopJsRequireKeyObject,29,survey/data/population_counts.csv
PopJsRequirePct,0.0037,survey/data/population_counts.csv
PopLargestCellFiles,790528,survey/data/population_counts.csv
PopSumFiles,1656928,survey/data/population_counts.csv
PopSumKeyObject,168,survey/data/population_counts.csv
PopSumOneIn,9863,survey/data/population_counts.csv
PopSumPct,0.0101,survey/data/population_counts.csv
PopTsImportFiles,333824,survey/data/population_counts.csv
PopTsImportKeyObject,101,survey/data/population_counts.csv
PopTsImportPct,0.0303,survey/data/population_counts.csv
PopTsRequireFiles,8288,survey/data/population_counts.csv
PopTsRequireKeyObject,0,survey/data/population_counts.csv
PopTsRequirePct,0.0000,survey/data/population_counts.csv
PopWorstCellPct,0.0303,survey/data/population_counts.csv
ProfEighteenPct,95.3,data/runs/2026-09-18T-profile-matched/cpuprof_matched.csv
ProfEighteenPctHi,95.6,data/runs/2026-09-18T-profile-matched/cpuprof_matched.csv
ProfEighteenPctLo,95.1,data/runs/2026-09-18T-profile-matched/cpuprof_matched.csv
ProfHostPct,66.2,data/runs/2026-09-18T-profile-matched/cpuprof_matched.csv
