algorithm,stage,payload_kb,iterations,mean_us,p50_us,p99_us
HS256,full_verify,0.5,180000,26.009885,25.208000,37.125000
HS256,decode_only,0.5,180000,0.895241,0.875000,1.125000
HS256,primitive_preparsed,0.5,180000,1.484406,1.333000,3.584000
HS256,primitive_raw,0.5,180000,1.292458,1.250000,1.583000
HS256,full_verify,2,180000,28.673610,27.791000,36.458000
HS256,decode_only,2,180000,1.355460,1.292000,1.667000
HS256,primitive_preparsed,2,180000,1.904469,1.875000,2.375000
HS256,primitive_raw,2,180000,1.765003,1.750000,2.125000
HS256,full_verify,4,180000,31.403472,30.709000,39.334000
HS256,decode_only,4,180000,2.090392,1.917000,4.250000
HS256,primitive_preparsed,4,180000,2.613130,2.584000,3.125000
HS256,primitive_raw,4,180000,2.695826,2.500000,4.750000
RS256,full_verify,0.5,180000,29.001034,27.792000,35.750000
RS256,decode_only,0.5,180000,0.894274,0.875000,1.125000
RS256,primitive_preparsed,0.5,180000,11.159136,10.750000,14.375000
RS256,primitive_raw,0.5,180000,11.140727,10.791000,13.667000
RS256,full_verify,2,180000,30.895319,29.959000,37.458000
RS256,decode_only,2,180000,1.352760,1.333000,1.708000
RS256,primitive_preparsed,2,180000,12.027863,11.333000,15.333000
RS256,primitive_raw,2,180000,11.613819,11.291000,14.334000
RS256,full_verify,4,180000,34.314757,33.083000,42.334000
RS256,decode_only,4,180000,2.009085,1.917000,2.542000
RS256,primitive_preparsed,4,180000,12.422021,11.958000,17.000000
RS256,primitive_raw,4,180000,12.425666,11.958000,16.875000
