algorithm,stage,payload_kb,iterations,mean_us,p50_us,p99_us
HS256,full_verify,0.5,180000,26.545372,25.167000,40.125000
HS256,decode_only,0.5,180000,1.011393,0.875000,2.333000
HS256,primitive_preparsed,0.5,180000,1.439622,1.375000,1.750000
HS256,primitive_raw,0.5,180000,1.322056,1.250000,1.625000
HS256,full_verify,2,180000,28.495071,27.417000,53.250000
HS256,decode_only,2,180000,1.355309,1.292000,1.667000
HS256,primitive_preparsed,2,180000,2.134262,1.917000,4.250000
HS256,primitive_raw,2,180000,1.890324,1.750000,2.375000
HS256,full_verify,4,180000,31.980809,30.625000,46.750000
HS256,decode_only,4,180000,2.012145,1.917000,2.500000
HS256,primitive_preparsed,4,180000,2.708795,2.625000,3.334000
HS256,primitive_raw,4,180000,2.495104,2.458000,3.083000
RS256,full_verify,0.5,180000,28.914446,27.583000,36.792000
RS256,decode_only,0.5,180000,0.877524,0.875000,1.125000
RS256,primitive_preparsed,0.5,180000,11.162893,10.792000,13.750000
RS256,primitive_raw,0.5,180000,11.023487,10.792000,13.583000
RS256,full_verify,2,180000,30.903666,29.792000,38.500000
RS256,decode_only,2,180000,1.324274,1.292000,1.666000
RS256,primitive_preparsed,2,180000,11.507267,11.292000,14.208000
RS256,primitive_raw,2,180000,12.025409,11.375000,15.542000
RS256,full_verify,4,180000,34.333341,32.833000,45.125000
RS256,decode_only,4,180000,1.984866,1.917000,2.500000
RS256,primitive_preparsed,4,180000,12.612115,12.000000,18.417000
RS256,primitive_raw,4,180000,12.322127,12.000000,16.250000
