corpus,repo,path,git_blob_sha1,sha256,bytes,verdict_repo_level,repo_head_commit_at_manifest_time
counter_search,trongdung721/ute-zone,src/controllers/userController.js,683c03eb8447d00577a0e96d0b4a2460a5105a72,7932e422691af90de16f0a876e4ebedd14868a2716346077a83dcadecc60033c,19194,,a05a5381efa5cd6dc43823249e8046c761359450
counter_search,graduation-thesis-ute/ute-zone-backend,src/controllers/userController.js,8d82bc96070115b1c48c39341737e984dd70d8da,99954cdf45bc5028f8f1e4bdc4898545795f9cb388469ae9c8808ba64f7f73c6,19568,,68f9e6f49ba5fc6ab2e6b9276ca26bf77bb3fd52
counter_search,jasonhoang6201/presentation-server,controller/user.js,ab0568db75861275d528a2291a4bbc2bd2f55060,f6429e38029c57a7181f350079c225c9ec58ee97d8ce9f08089a3efd07443716,12309,,ea0b4c37aae279ea0e45bf76996ea09a79da7602
counter_search,graduate-project-sut/engineering-curriculum-system,backend/controllers/authController.js,5bdb6c8806df7a140748aa3dc7188c6ad0e8a4f1,de5dbb7275d97db241b34f64af7b7ebea136f489549a60ce816ff69c11b6ad1a,13277,genuine,0d42759927af63272aaba6c8f32508dcdb7a77f0
counter_search,arfan-ahmed-shohag/csit_inventory,csit_inventory_server/api/server.js,affcff6c2af68ee9b29f18113e76e73df0966a25,ab703aabf865f58a65c701da321ba9778bcfdb87c2d5c9faf8d09913f22c3896,145550,,8f9216520f10e3d69d61361418ca9f41df0ef1f9
counter_search,linxiqt/yyauth,server/chunks/_/nitro.mjs,5818b8acdd975292d943a9195d64454f72eec377,30e6987b5fac6252a02ed0622fd90111a6858f45b3541e657292198e7454ddb4,270258,,6f89373fb4c97c43858d7fc7ef28a03ed5403d4b
counter_search,lauratnt/Supermarket_CC,apiGateaway/supermarketsMicroservice/supermarketsMicroservice.js,f2c7dc4d4a9ad84313c48b6170ee7913fdb59701,2cca81ece9ef1d9003ce89d77e8220f68316b028640f74f70928e064362bcc5d,10010,,d649aa7bebff4836b21a3908fdebaa8604083612
counter_search,lauratnt/Supermarket_CC,apiGateaway/usersMicroservice/usersMicroservice.js,8a43352d82e81ca6c4373cb7f83cf0032787bd11,6d975f2369c08a7d046f05bbfb580d98700bc2048a09f23a3bd3d6fd00efbb6c,18948,,d649aa7bebff4836b21a3908fdebaa8604083612
counter_search,clairevuni/ISD_Supermarket,Desktop/ISD_Supermarket-master/ISD_Supermarket-master/Desktop/Prog_Ingeg/app/supermarketsMicroservice.js,e0683a19e11abec66386155ea4c2b5a7afb4b156,defa66abc99fcd130fe653957c7764dae6fe3fb828e12f07532972a5304aa636,8899,,8747ade46e52df52711f2acf7311e6f6a3084b4f
counter_search,kaytervn/kaytervn,capstone-projects/zalo-ute/realtime-chat-app-api/src/controllers/userController.js,c0f00c1cb3ab82353892f41f6457dc2246b36266,42a393b497eea3e588aee3a79e70b7f8eafff81652d78b9ad4824bc59b2cb22a,17469,,42b79c3b76bae8fc87a78615c97ac604330343e6
counter_search,clairevuni/ISD_Supermarket,Desktop/ISD_Supermarket-master/ISD_Supermarket-master/Desktop/Prog_Ingeg/app/usersMicroservice.js,8266b78e3b4e70cbe59238fb547a3fe202777979,11d3cbccccf34898e4de3a66ac33f6e0d5330503efe9049c12466fe8a580bc35,10620,,8747ade46e52df52711f2acf7311e6f6a3084b4f
