scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S8,local,50,50.000,3.1476,7.9193
S8,local,100,100.000,2.6306,9.4945
S8,local,150,150.000,2.2612,7.4591
S8,local,200,200.033,2.0416,7.1750
S8,local,250,250.033,1.8218,6.1940
S8,local,300,299.900,2.6989,21.1093
S8,local,350,350.033,1.3421,6.2180
S8,local,400,400.033,1.1961,3.4910
S8,local,450,450.033,1.2134,4.6050
S8,local,500,500.033,1.1991,4.1780
S8,local,550,550.033,1.2515,5.0300
S8,local,600,600.033,1.0981,3.5070
S8,local,650,650.033,0.9844,2.8390
S8,local,700,700.033,0.9828,3.7890
S8,local,750,750.033,0.9832,4.1280
S8,local,800,800.033,0.9199,3.6780
S8,local,850,850.033,0.9087,3.1840
S8,local,900,900.033,0.9178,3.8330
S8,local,950,950.033,0.9551,4.5830
S8,local,1000,1000.033,0.9007,3.8920
