scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S8,local,50,50.000,3.1476,7.9193,56.886,26.362,3.043
S8,local,100,100.000,2.6306,9.4945,75.106,40.525,3.177
S8,local,150,150.000,2.2612,7.4591,83.150,50.424,3.165
S8,local,200,200.033,2.0416,7.1750,90.144,60.773,3.294
S8,local,250,250.033,1.8218,6.1940,95.971,66.418,3.126
S8,local,300,299.900,2.6989,21.1093,95.238,76.312,3.211
S8,local,350,350.033,1.3421,6.2180,84.640,70.204,3.292
S8,local,400,400.033,1.1961,3.4910,86.091,74.261,3.131
S8,local,450,450.033,1.2134,4.6050,92.286,78.483,2.970
S8,local,500,500.033,1.1991,4.1780,94.230,82.931,2.491
S8,local,550,550.033,1.2515,5.0300,99.063,92.803,2.365
S8,local,600,600.033,1.0981,3.5070,98.319,92.981,2.515
S8,local,650,650.033,0.9844,2.8390,99.293,94.135,2.506
S8,local,700,700.033,0.9828,3.7890,104.925,99.053,2.550
S8,local,750,750.033,0.9832,4.1280,109.174,103.761,2.413
S8,local,800,800.033,0.9199,3.6780,108.232,104.237,1.900
S8,local,850,850.033,0.9087,3.1840,111.621,109.633,1.959
S8,local,900,900.033,0.9178,3.8330,117.399,115.350,2.204
S8,local,950,950.033,0.9551,4.5830,118.760,118.290,2.194
S8,local,1000,1000.033,0.9007,3.8920,122.336,120.610,2.205
