TIMESTAMP,POD,CPU,MEMORY
2025-11-18T00:25:33,ingress-nginx-controller-6ccdb49bd4-vwfs4,45m,142Mi
2025-11-18T00:25:38,service-a-deployment-6bd85fb6c9-crbb6,44m,60Mi
2025-11-18T00:25:38,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:25:38,ingress-nginx-controller-6ccdb49bd4-vwfs4,45m,142Mi
2025-11-18T00:25:43,service-a-deployment-6bd85fb6c9-crbb6,7m,60Mi
2025-11-18T00:25:43,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:25:43,ingress-nginx-controller-6ccdb49bd4-vwfs4,11m,137Mi
2025-11-18T00:25:48,service-a-deployment-6bd85fb6c9-crbb6,7m,60Mi
2025-11-18T00:25:48,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:25:48,ingress-nginx-controller-6ccdb49bd4-vwfs4,11m,137Mi
2025-11-18T00:25:54,service-a-deployment-6bd85fb6c9-crbb6,7m,60Mi
2025-11-18T00:25:54,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:25:54,ingress-nginx-controller-6ccdb49bd4-vwfs4,11m,137Mi
