TIMESTAMP,POD,CPU,MEMORY
2025-11-18T00:58:12,service-a-deployment-5b66648874-k9scn,0m,61Mi
2025-11-18T00:58:12,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:58:12,ingress-nginx-controller-6ccdb49bd4-vwfs4,5m,142Mi
2025-11-18T00:58:17,service-a-deployment-5b66648874-k9scn,0m,61Mi
2025-11-18T00:58:17,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:58:17,ingress-nginx-controller-6ccdb49bd4-vwfs4,5m,142Mi
2025-11-18T00:58:22,service-a-deployment-5b66648874-k9scn,0m,61Mi
2025-11-18T00:58:22,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:58:22,ingress-nginx-controller-6ccdb49bd4-vwfs4,5m,142Mi
2025-11-18T00:58:27,service-a-deployment-5b66648874-k9scn,1m,61Mi
2025-11-18T00:58:27,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:58:27,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,142Mi
2025-11-18T00:58:32,service-a-deployment-5b66648874-k9scn,1m,61Mi
2025-11-18T00:58:32,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:58:32,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,142Mi
2025-11-18T00:58:38,service-a-deployment-5b66648874-k9scn,1m,61Mi
2025-11-18T00:58:38,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:58:38,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,142Mi
2025-11-18T00:58:43,service-a-deployment-5b66648874-k9scn,58m,45Mi
2025-11-18T00:58:43,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:58:43,ingress-nginx-controller-6ccdb49bd4-vwfs4,39m,146Mi
2025-11-18T00:58:48,service-a-deployment-5b66648874-k9scn,58m,45Mi
2025-11-18T00:58:48,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:58:48,ingress-nginx-controller-6ccdb49bd4-vwfs4,39m,146Mi
2025-11-18T00:58:53,service-a-deployment-5b66648874-k9scn,58m,45Mi
2025-11-18T00:58:53,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:58:53,ingress-nginx-controller-6ccdb49bd4-vwfs4,39m,146Mi
2025-11-18T00:58:58,service-a-deployment-5b66648874-k9scn,108m,46Mi
2025-11-18T00:58:58,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:58:58,ingress-nginx-controller-6ccdb49bd4-vwfs4,43m,148Mi
2025-11-18T00:59:03,service-a-deployment-5b66648874-k9scn,108m,46Mi
2025-11-18T00:59:03,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:59:03,ingress-nginx-controller-6ccdb49bd4-vwfs4,43m,148Mi
2025-11-18T00:59:08,service-a-deployment-5b66648874-k9scn,108m,46Mi
2025-11-18T00:59:08,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:59:08,ingress-nginx-controller-6ccdb49bd4-vwfs4,43m,148Mi
2025-11-18T00:59:13,service-a-deployment-5b66648874-k9scn,105m,60Mi
2025-11-18T00:59:13,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:59:13,ingress-nginx-controller-6ccdb49bd4-vwfs4,37m,148Mi
2025-11-18T00:59:18,service-a-deployment-5b66648874-k9scn,105m,60Mi
2025-11-18T00:59:18,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:59:18,ingress-nginx-controller-6ccdb49bd4-vwfs4,37m,148Mi
