# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789320239.521475,service-a-deployment-5fd8db696c-4hxjg,service-a,11.041,2.504703
1789320239.755765,service-a-deployment-7c6cccc7f6-vcx76,service-a,51.857,2.504703
1789320239.905507,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,22.293,
1789320241.1777012,service-a-deployment-5fd8db696c-4hxjg,service-a,9.587,2.611199
1789320241.419282,service-a-deployment-7c6cccc7f6-vcx76,service-a,45.069,2.611199
1789320241.560194,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,21.584,
1789320242.818182,service-a-deployment-5fd8db696c-4hxjg,service-a,10.143,2.502655
1789320243.0615602,service-a-deployment-7c6cccc7f6-vcx76,service-a,48.464,2.502655
1789320243.200358,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,22.669,
1789320244.501857,service-a-deployment-5fd8db696c-4hxjg,service-a,9.730,2.459647
1789320244.7297559,service-a-deployment-7c6cccc7f6-vcx76,service-a,38.043,2.459647
1789320244.863447,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,20.115,
1789320246.1032078,service-a-deployment-5fd8db696c-4hxjg,service-a,9.764,2.396159
1789320246.356891,service-a-deployment-7c6cccc7f6-vcx76,service-a,46.646,2.396159
1789320246.4954932,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,28.332,
1789320247.741478,service-a-deployment-5fd8db696c-4hxjg,service-a,9.391,2.441215
1789320248.0334232,service-a-deployment-7c6cccc7f6-vcx76,service-a,45.217,2.441215
1789320248.173685,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,17.337,
1789320249.706327,service-a-deployment-7c6cccc7f6-vcx76,service-a,65.912,2.379775
1789320249.8452191,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,26.352,
1789320251.1225479,service-a-deployment-7c6cccc7f6-vcx76,service-a,34.360,2.789375
1789320251.25859,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,18.068,
1789320252.512723,service-a-deployment-7c6cccc7f6-vcx76,service-a,41.615,3.012607
1789320252.651117,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,21.759,
1789320253.924852,service-a-deployment-7c6cccc7f6-vcx76,service-a,36.106,2.457599
1789320254.066179,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,19.654,
1789320255.344587,service-a-deployment-7c6cccc7f6-vcx76,service-a,48.772,2.926591
1789320255.483936,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,27.857,
1789320256.734026,service-a-deployment-7c6cccc7f6-vcx76,service-a,42.539,2.908159
1789320256.866345,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,19.885,
1789320258.157794,service-a-deployment-7c6cccc7f6-vcx76,service-a,60.523,4.028415
1789320258.299475,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,27.773,
1789320259.574925,service-a-deployment-7c6cccc7f6-vcx76,service-a,56.456,2.912255
1789320259.723438,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,21.128,
1789320260.9894369,service-a-deployment-7c6cccc7f6-vcx76,service-a,53.503,2.734079
1789320261.1239731,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,22.197,
1789320262.3921971,service-a-deployment-7c6cccc7f6-vcx76,service-a,41.771,3.002367
1789320262.553167,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,24.228,
1789320263.8298082,service-a-deployment-7c6cccc7f6-vcx76,service-a,43.654,3.002367
1789320263.9699042,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,22.364,
1789320265.229213,service-a-deployment-7c6cccc7f6-vcx76,service-a,45.472,2.969599
1789320265.363831,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,27.880,
1789320266.638966,service-a-deployment-7c6cccc7f6-vcx76,service-a,52.948,2.910207
1789320266.786874,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,25.083,
1789320268.074034,service-a-deployment-7c6cccc7f6-vcx76,service-a,50.248,3.074047
1789320268.270893,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,31.659,
1789320269.533029,service-a-deployment-7c6cccc7f6-vcx76,service-a,71.209,3.047423
1789320269.6713119,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,31.016,
1789320270.936915,service-a-deployment-7c6cccc7f6-vcx76,service-a,72.782,3.102719
1789320271.069792,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,31.288,
1789320272.339697,service-a-deployment-7c6cccc7f6-vcx76,service-a,55.552,3.094527
1789320272.476065,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,28.849,
1789320273.729624,service-a-deployment-7c6cccc7f6-vcx76,service-a,44.914,3.047423
1789320273.864518,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,26.030,
1789320275.128717,service-a-deployment-7c6cccc7f6-vcx76,service-a,64.482,3.026943
1789320275.280245,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,31.081,
1789320276.541377,service-a-deployment-7c6cccc7f6-vcx76,service-a,64.214,2.996223
1789320276.685177,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,34.568,
1789320277.943574,service-a-deployment-7c6cccc7f6-vcx76,service-a,58.129,3.031039
1789320278.082953,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,29.689,
1789320279.3567731,service-a-deployment-7c6cccc7f6-vcx76,service-a,55.366,3.069951
1789320279.50471,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,31.280,
1789320280.7665339,service-a-deployment-7c6cccc7f6-vcx76,service-a,48.651,3.041279
1789320280.904044,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,30.402,
1789320282.14818,service-a-deployment-7c6cccc7f6-vcx76,service-a,76.894,3.092479
1789320282.283693,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,33.559,
1789320283.549352,service-a-deployment-7c6cccc7f6-vcx76,service-a,49.022,3.053567
1789320283.696149,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,28.155,
1789320284.96328,service-a-deployment-7c6cccc7f6-vcx76,service-a,54.642,3.071999
1789320285.103078,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,33.648,
1789320286.34373,service-a-deployment-7c6cccc7f6-vcx76,service-a,69.957,2.822143
1789320286.481427,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,30.084,
1789320287.723546,service-a-deployment-7c6cccc7f6-vcx76,service-a,53.566,3.051519
1789320287.8628669,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,27.987,
1789320289.118637,service-a-deployment-7c6cccc7f6-vcx76,service-a,43.934,2.445311
1789320289.2632918,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,26.521,
1789320290.502561,service-a-deployment-7c6cccc7f6-vcx76,service-a,56.143,2.811903
1789320290.642924,service-a-deployment-7c6cccc7f6-vcx76,istio-proxy,34.126,
1789320291.930068,service-a-deployment-7c6cccc7f6-vcx76,service-a,52.830,2.453503
