scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S1,local,50,50.033,2.6423,7.9280,38.343,22.977,2.715
S1,local,100,100.000,1.8311,4.8313,56.833,30.607,2.916
S1,local,150,150.000,1.6422,4.8082,59.152,40.424,2.926
S1,local,200,200.033,1.5722,5.1830,64.787,50.294,2.934
S1,local,250,250.000,1.4591,5.0520,68.859,55.936,3.117
S1,local,300,300.033,1.2916,3.7070,70.383,60.487,2.913
S1,local,350,350.033,1.4278,8.2910,82.385,71.509,3.088
S1,local,400,400.033,1.3130,5.3620,86.234,77.019,2.901
S1,local,450,450.033,1.3721,7.7580,88.096,79.794,2.781
S1,local,500,500.033,1.2265,5.6570,94.958,88.142,2.696
S1,local,550,550.000,1.1453,5.1912,94.344,90.487,2.472
S1,local,600,600.033,1.1346,6.5580,95.539,93.347,2.318
S1,local,650,650.033,1.0341,4.0280,99.776,97.946,2.192
S1,local,700,700.033,1.0352,5.2370,99.164,98.367,2.386
S1,local,750,750.033,1.0464,4.8730,104.757,105.140,2.478
S1,local,800,800.033,0.9789,4.6830,106.343,108.305,2.241
S1,local,850,850.033,1.8219,30.7270,127.643,128.239,2.593
S1,local,900,900.033,1.1248,10.0840,118.034,120.270,2.074
S1,local,950,950.033,1.0678,9.0960,120.011,123.080,2.040
S1,local,1000,1000.000,0.8665,3.8622,112.599,116.816,1.799
