scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S1,local,50,50.033,2.6423,7.9280
S1,local,100,100.000,1.8311,4.8313
S1,local,150,150.000,1.6422,4.8082
S1,local,200,200.033,1.5722,5.1830
S1,local,250,250.000,1.4591,5.0520
S1,local,300,300.033,1.2916,3.7070
S1,local,350,350.033,1.4278,8.2910
S1,local,400,400.033,1.3130,5.3620
S1,local,450,450.033,1.3721,7.7580
S1,local,500,500.033,1.2265,5.6570
S1,local,550,550.000,1.1453,5.1912
S1,local,600,600.033,1.1346,6.5580
S1,local,650,650.033,1.0341,4.0280
S1,local,700,700.033,1.0352,5.2370
S1,local,750,750.033,1.0464,4.8730
S1,local,800,800.033,0.9789,4.6830
S1,local,850,850.033,1.8219,30.7270
S1,local,900,900.033,1.1248,10.0840
S1,local,950,950.033,1.0678,9.0960
S1,local,1000,1000.000,0.8665,3.8622
