# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789322182.772186,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,103.807,2.965503
1789322182.9191859,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,19.394,
1789322184.169534,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,99.060,3.076095
1789322184.305444,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,20.591,
1789322185.5768309,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,109.160,2.846719
1789322185.709437,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,21.384,
1789322186.942061,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,92.896,2.766847
1789322187.0850601,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,16.574,
1789322188.366789,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,95.259,2.936831
1789322188.508107,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,20.487,
1789322189.777017,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,110.151,2.832383
1789322189.907593,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,20.713,
1789322191.198276,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,99.643,2.807807
1789322191.338804,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,21.399,
1789322192.621079,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,127.651,2.885631
1789322192.761083,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,21.025,
1789322194.0187762,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,131.328,2.832383
1789322194.158772,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,21.547,
1789322195.4304872,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,94.944,2.723839
1789322195.571968,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,19.227,
1789322196.858685,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,92.469,2.902015
1789322196.994982,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,19.557,
1789322198.2421892,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,87.170,2.885631
1789322198.3785758,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,17.348,
1789322199.643996,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,103.356,2.859007
1789322199.785609,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,21.724,
1789322201.0753732,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,90.906,2.998271
1789322201.214321,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,18.289,
1789322202.461231,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,106.450,2.934783
1789322202.590353,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,18.477,
1789322203.849452,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,101.972,2.836479
1789322203.989509,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,22.459,
1789322205.257042,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,99.793,2.760703
1789322205.40089,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,23.035,
1789322206.64797,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,90.092,2.861055
1789322206.787775,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,18.342,
1789322208.044121,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,95.657,2.838527
1789322208.1837409,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,20.740,
1789322209.449192,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,102.905,3.174399
1789322209.583085,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,19.742,
1789322210.836214,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,115.146,2.916351
1789322210.976098,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,22.216,
1789322212.227446,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,119.764,2.934783
1789322212.366864,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,25.126,
1789322213.637852,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,122.828,2.932735
1789322213.776481,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,26.421,
1789322215.026689,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,120.148,2.957311
1789322215.154476,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,26.361,
1789322216.420746,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,128.718,2.842623
1789322216.571508,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,28.078,
1789322217.8646889,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,138.653,3.244031
1789322218.096307,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,34.959,
1789322219.356628,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,150.737,3.158015
1789322219.501504,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,31.907,
1789322220.764738,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,134.843,3.002367
1789322220.915984,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,26.432,
1789322222.175883,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,125.265,2.973695
1789322222.325459,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,28.274,
1789322223.561932,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,157.171,2.531327
1789322223.704999,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,31.145,
1789322224.9694211,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,109.485,3.129343
1789322225.1449332,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,26.833,
1789322226.414967,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,160.742,3.024895
1789322226.568434,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,28.821,
1789322227.8098922,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,136.615,2.994175
1789322227.943962,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,28.379,
1789322229.2236118,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,123.116,2.990079
1789322229.357434,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,27.599,
1789322230.652085,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,134.903,2.908159
1789322230.796823,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,26.739,
1789322232.046676,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,139.218,2.902015
1789322232.177731,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,28.903,
1789322233.46171,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,143.601,2.916351
1789322233.597022,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,31.223,
1789322234.872264,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,124.548,3.000319
1789322235.005706,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,26.422,
1789322236.2557719,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,142.957,3.340287
1789322236.3938282,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,30.408,
1789322237.657444,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,115.725,3.115007
1789322237.788192,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,25.431,
1789322239.06433,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,147.427,3.164159
1789322239.19984,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,27.359,
1789322240.460737,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,125.277,3.143679
1789322240.591273,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,27.976,
1789322241.856758,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,135.462,2.988031
1789322241.9907331,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,33.020,
1789322243.254719,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,158.809,3.383295
1789322243.3948102,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,34.972,
1789322244.647624,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,142.068,2.846719
1789322244.778712,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,31.304,
1789322246.0306308,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,173.450,3.225599
1789322246.163647,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,36.116,
1789322247.4276018,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,167.180,3.291135
1789322247.568426,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,34.853,
1789322248.83115,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,156.379,3.211263
1789322248.971348,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,36.306,
1789322250.224834,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,162.077,3.549183
1789322250.3643572,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,34.881,
1789322251.620074,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,168.329,3.528703
1789322251.760876,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,35.051,
1789322253.012043,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,158.306,2.983935
1789322253.154676,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,35.793,
1789322254.402622,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,172.896,3.170303
1789322254.548245,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,37.586,
1789322255.814852,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,171.149,2.951167
1789322255.954465,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,39.017,
1789322257.198226,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,175.600,3.219455
1789322257.342665,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,34.404,
1789322258.6115232,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,152.978,3.454975
1789322258.763135,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,35.026,
1789322260.041584,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,162.094,3.301375
1789322260.182534,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,38.134,
1789322261.450359,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,171.364,2.990079
1789322261.58657,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,48.943,
1789322262.854378,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,154.494,3.041279
1789322262.9912598,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,33.958,
1789322264.233975,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,156.818,3.291135
1789322264.375666,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,41.565,
1789322265.621498,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,178.608,3.227647
1789322265.75598,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,39.022,
1789322267.0334668,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,165.109,3.090431
1789322267.170913,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,34.383,
1789322268.4582798,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,170.378,1.946623
1789322268.59233,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,36.679,
1789322269.872169,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,184.057,3.268607
1789322270.0045161,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,38.671,
1789322271.275094,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,170.038,3.311615
1789322271.4143722,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,38.289,
1789322272.644037,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,158.248,3.690495
1789322272.7981749,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,41.004,
1789322274.051719,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,190.513,3.524607
1789322274.199727,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,44.344,
1789322275.4635599,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,175.163,3.373055
1789322275.607908,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,41.483,
1789322276.884887,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,183.768,3.270655
1789322277.032065,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,42.559,
1789322278.2724218,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,198.106,3.932159
1789322278.414228,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,44.392,
1789322279.681652,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,171.431,3.530751
1789322279.837198,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,43.106,
1789322281.1057658,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,185.202,3.522559
1789322281.2394361,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,44.973,
1789322282.499815,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,178.624,3.176447
1789322282.640676,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,42.536,
1789322283.899075,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,174.742,3.325951
1789322284.044887,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,46.573,
1789322285.3071492,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,187.055,3.237887
1789322285.4385421,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,42.848,
1789322286.708616,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,199.221,3.287039
1789322286.8533728,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,41.879,
1789322288.138149,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,180.676,3.438591
1789322288.2869911,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,50.347,
1789322289.55108,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,232.427,3.284991
1789322289.699403,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,43.687,
1789322290.9668632,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,183.347,3.207167
1789322291.1057332,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,39.441,
1789322292.358268,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,232.788,3.792895
1789322292.492982,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,58.690,
1789322293.744952,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,176.438,3.543039
1789322293.880775,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,42.047,
1789322295.14928,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,188.151,3.309567
1789322295.2855308,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,37.919,
1789322296.557229,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,184.723,2.848767
1789322296.698903,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,38.105,
1789322297.954159,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,196.607,2.815999
1789322298.0919812,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,43.522,
1789322299.350555,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,191.335,2.746367
1789322299.4953558,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,43.642,
1789322300.752189,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,194.784,2.936831
1789322300.892972,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,42.248,
1789322302.1430578,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,230.270,2.764799
1789322302.2828858,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,44.916,
1789322303.54705,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,215.047,3.133439
1789322303.683071,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,49.441,
1789322304.940694,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,191.984,2.570239
1789322305.082357,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,44.140,
1789322306.33654,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,224.396,2.643967
1789322306.4711769,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,47.144,
1789322307.7207959,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,173.849,2.678783
1789322307.8713222,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,44.446,
1789322309.130384,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,214.872,3.219455
1789322309.281343,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,52.665,
1789322310.549406,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,232.454,2.953215
1789322310.686856,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,47.949,
1789322311.961302,service-a-s9-deployment-5594fcdc45-k6k5l,service-a,187.461,2.848767
1789322312.103937,service-a-s9-deployment-5594fcdc45-k6k5l,istio-proxy,48.004,
