scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S9,local,50,50.033,2.7919,6.0080
S9,local,100,100.000,2.2139,5.6534
S9,local,150,150.033,1.9425,4.2900
S9,local,200,200.033,1.8405,4.7790
S9,local,250,250.033,1.7084,4.0470
S9,local,300,300.033,1.5793,3.9890
S9,local,350,350.000,1.5027,3.3280
S9,local,400,400.033,1.5523,5.2650
S9,local,450,450.033,1.3958,3.7550
S9,local,500,500.000,1.4673,5.6968
S9,local,550,550.033,1.6241,6.2280
S9,local,600,600.033,1.3195,5.8760
S9,local,650,650.033,1.2225,3.7500
S9,local,700,700.033,1.2697,5.3420
S9,local,750,750.033,1.3403,6.8410
S9,local,800,800.033,1.1814,4.3700
S9,local,850,850.033,1.2088,5.1520
S9,local,900,900.033,1.2267,5.5440
S9,local,950,950.033,1.3289,7.6420
S9,local,1000,1000.033,1.2748,6.5160
