scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S3,local,50,50.033,3.2690,11.8890
S3,local,100,100.033,2.5539,8.1610
S3,local,150,150.000,2.3453,8.1265
S3,local,200,200.033,2.2486,10.9300
S3,local,250,250.033,2.6303,17.1770
S3,local,300,300.033,2.0007,9.9310
S3,local,350,350.033,1.8805,10.1960
S3,local,400,400.000,1.9244,11.6126
S3,local,450,450.033,1.9133,11.9710
S3,local,500,500.033,1.8194,12.1680
S3,local,550,550.033,1.7308,9.7050
S3,local,600,600.033,1.7698,10.3490
S3,local,650,650.033,1.8804,13.1480
S3,local,700,700.033,2.0491,14.4720
S3,local,750,750.033,2.4567,27.4760
S3,local,800,800.033,2.0487,15.4330
S3,local,850,850.000,1.8255,11.8231
S3,local,900,900.033,1.9198,12.4440
S3,local,950,950.033,1.9458,13.6610
S3,local,1000,1000.033,1.9990,13.1290
