algorithm,stage,payload_kb,iterations,mean_us,p50_us,p99_us
HS256,full_verify,0.5,900000,49.721055,49.000000,55.875000
HS256,decode_only,0.5,900000,1.736129,1.708000,2.083000
HS256,primitive_preparsed,0.5,900000,2.599638,2.541000,3.000000
HS256,primitive_raw,0.5,900000,2.509794,2.458000,2.666000
HS256,full_verify,2,900000,54.463522,53.750000,59.083000
HS256,decode_only,2,900000,2.633826,2.583000,3.334000
HS256,primitive_preparsed,2,900000,3.776656,3.625000,5.000000
HS256,primitive_raw,2,900000,3.553964,3.458000,4.541000
HS256,full_verify,4,900000,61.953721,61.292000,67.208000
HS256,decode_only,4,900000,3.906047,3.750000,5.416000
HS256,primitive_preparsed,4,900000,5.204155,5.041000,6.417000
HS256,primitive_raw,4,900000,4.846639,4.708000,5.916000
RS256,full_verify,0.5,900000,55.482293,54.292000,59.750000
RS256,decode_only,0.5,900000,1.721896,1.708000,2.250000
RS256,primitive_preparsed,0.5,900000,21.173228,20.750000,23.708000
RS256,primitive_raw,0.5,900000,21.185443,20.750000,23.583000
RS256,full_verify,2,900000,60.351570,59.166000,66.416000
RS256,decode_only,2,900000,2.606913,2.542000,3.416000
RS256,primitive_preparsed,2,900000,22.340335,21.833000,24.791000
RS256,primitive_raw,2,900000,18.292951,21.709000,24.709000
RS256,full_verify,4,900000,33.343266,32.750000,35.959000
RS256,decode_only,4,900000,2.027744,1.958000,2.542000
RS256,primitive_preparsed,4,900000,12.084237,11.917000,13.208000
RS256,primitive_raw,4,900000,12.067209,11.917000,12.666000
