# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789322803.007502,service-a-deployment-5fd8db696c-7mgn7,service-a,66.795,3.063807
1789322803.1482759,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,17.822,
1789322804.417892,service-a-deployment-5fd8db696c-7mgn7,service-a,61.144,3.045375
1789322804.576281,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,19.223,
1789322805.840451,service-a-deployment-5fd8db696c-7mgn7,service-a,80.657,3.436543
1789322805.993325,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,23.357,
1789322807.259918,service-a-deployment-5fd8db696c-7mgn7,service-a,80.384,3.399679
1789322807.4021409,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,22.823,
1789322808.674217,service-a-deployment-5fd8db696c-7mgn7,service-a,69.071,3.125247
1789322808.81501,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,21.218,
1789322810.088096,service-a-deployment-5fd8db696c-7mgn7,service-a,98.185,3.868671
1789322810.24669,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,26.229,
1789322811.507526,service-a-deployment-5fd8db696c-7mgn7,service-a,82.919,3.604479
1789322811.648551,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,24.462,
1789322812.920599,service-a-deployment-5fd8db696c-7mgn7,service-a,88.305,3.198975
1789322813.0624661,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,21.453,
1789322814.3325682,service-a-deployment-5fd8db696c-7mgn7,service-a,56.826,3.071999
1789322814.4722629,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,18.047,
1789322815.7247722,service-a-deployment-5fd8db696c-7mgn7,service-a,78.946,3.338239
1789322815.862527,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,24.034,
1789322817.12154,service-a-deployment-5fd8db696c-7mgn7,service-a,68.241,3.147775
1789322817.2698398,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,21.911,
1789322818.5611541,service-a-deployment-5fd8db696c-7mgn7,service-a,76.277,3.471359
1789322818.7106838,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,22.694,
1789322819.973043,service-a-deployment-5fd8db696c-7mgn7,service-a,86.051,3.999743
1789322820.1241431,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,27.670,
1789322821.382821,service-a-deployment-5fd8db696c-7mgn7,service-a,78.859,3.377151
1789322821.519708,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,23.542,
1789322822.8142889,service-a-deployment-5fd8db696c-7mgn7,service-a,94.532,3.436543
1789322822.9640949,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,24.075,
1789322824.2082691,service-a-deployment-5fd8db696c-7mgn7,service-a,80.114,3.512319
1789322824.3511639,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,20.714,
1789322825.630111,service-a-deployment-5fd8db696c-7mgn7,service-a,63.248,3.287039
1789322825.786494,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,19.358,
1789322827.0619829,service-a-deployment-5fd8db696c-7mgn7,service-a,73.351,3.825663
1789322827.2032409,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,28.217,
1789322828.4374049,service-a-deployment-5fd8db696c-7mgn7,service-a,62.578,3.373055
1789322828.583681,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,18.672,
1789322829.854293,service-a-deployment-5fd8db696c-7mgn7,service-a,92.752,3.387391
1789322830.0000598,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,22.484,
1789322831.267491,service-a-deployment-5fd8db696c-7mgn7,service-a,80.377,3.469311
1789322831.398514,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,26.479,
1789322832.664198,service-a-deployment-5fd8db696c-7mgn7,service-a,95.511,3.153919
1789322832.8069701,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,27.879,
1789322834.0546079,service-a-deployment-5fd8db696c-7mgn7,service-a,108.996,3.139583
1789322834.199158,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,29.757,
1789322835.453815,service-a-deployment-5fd8db696c-7mgn7,service-a,102.634,3.631103
1789322835.587187,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,29.688,
1789322836.8230588,service-a-deployment-5fd8db696c-7mgn7,service-a,102.573,2.920447
1789322836.9865239,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,29.699,
