t_unix,t_rel_s,lambda_rps,eventloop_lag_p99_ms,mu_eff_rps,rho,latency_mean_ms,mode,decision,actuation_latency_ms,trigger_reason
1789323410.227,613.316,49.997,3.0884,1024.735,0.0488,0.8158,app,hold,,below_trigger(rho=0.049)
1789323412.231,615.320,50.000,3.3219,987.228,0.0506,0.8226,app,hold,,below_trigger(rho=0.051)
1789323414.240,617.329,50.000,3.3219,960.974,0.0520,0.8226,app,hold,,below_trigger(rho=0.052)
1789323416.242,619.331,50.000,3.3219,942.596,0.0530,0.8226,app,hold,,below_trigger(rho=0.053)
1789323418.243,621.333,50.000,3.3219,929.731,0.0538,0.8226,app,hold,,below_trigger(rho=0.054)
1789323420.244,623.333,50.000,3.3219,920.726,0.0543,0.8226,app,hold,,below_trigger(rho=0.054)
1789323422.245,625.335,50.000,3.3219,914.422,0.0547,0.8226,app,hold,,below_trigger(rho=0.055)
1789323424.250,627.340,50.000,3.3219,910.009,0.0549,0.8226,app,hold,,below_trigger(rho=0.055)
1789323426.260,629.350,50.000,3.3219,906.921,0.0551,0.8226,app,hold,,below_trigger(rho=0.055)
1789323428.267,631.356,49.999,3.2174,880.185,0.0568,0.8173,app,hold,,below_trigger(rho=0.057)
1789323430.269,633.358,49.999,3.2174,861.470,0.0580,0.8173,app,hold,,below_trigger(rho=0.058)
1789323432.275,635.364,49.999,3.2174,848.369,0.0589,0.8173,app,hold,,below_trigger(rho=0.059)
1789323434.282,637.371,49.999,3.2174,839.199,0.0596,0.8173,app,hold,,below_trigger(rho=0.060)
1789323436.287,639.376,49.999,3.2174,832.780,0.0600,0.8173,app,hold,,below_trigger(rho=0.060)
1789323438.292,641.382,49.999,3.2174,828.286,0.0604,0.8173,app,hold,,below_trigger(rho=0.060)
1789323440.302,643.392,49.999,3.2174,825.141,0.0606,0.8173,app,hold,,below_trigger(rho=0.061)
1789323442.312,645.402,50.002,2.7361,916.202,0.0546,0.8099,app,hold,,below_trigger(rho=0.055)
1789323444.315,647.405,50.002,2.7361,979.945,0.0510,0.8099,app,hold,,below_trigger(rho=0.051)
1789323446.318,649.408,50.002,2.7361,1024.565,0.0488,0.8099,app,hold,,below_trigger(rho=0.049)
1789323448.325,651.415,50.002,2.7361,1055.799,0.0474,0.8099,app,hold,,below_trigger(rho=0.047)
1789323450.331,653.420,50.002,2.7361,1077.663,0.0464,0.8099,app,hold,,below_trigger(rho=0.046)
1789323452.340,655.430,50.002,2.7361,1092.967,0.0457,0.8099,app,hold,,below_trigger(rho=0.046)
1789323454.342,657.431,50.002,2.7361,1103.681,0.0453,0.8099,app,hold,,below_trigger(rho=0.045)
1789323456.348,659.438,50.002,2.7361,1111.180,0.0450,0.8099,app,hold,,below_trigger(rho=0.045)
1789323458.355,661.445,50.001,2.9819,1085.959,0.0460,0.7959,app,hold,,below_trigger(rho=0.046)
1789323460.363,663.452,50.001,2.9819,1068.305,0.0468,0.7959,app,hold,,below_trigger(rho=0.047)
1789323462.367,665.457,50.001,2.9819,1055.946,0.0474,0.7959,app,hold,,below_trigger(rho=0.047)
1789323464.376,667.466,50.001,2.9819,1047.296,0.0477,0.7959,app,hold,,below_trigger(rho=0.048)
1789323466.387,669.476,50.001,2.9819,1041.240,0.0480,0.7959,app,hold,,below_trigger(rho=0.048)
1789323468.393,671.483,50.001,2.9819,1037.001,0.0482,0.7959,app,hold,,below_trigger(rho=0.048)
1789323470.403,673.493,50.001,2.9819,1034.034,0.0484,0.7959,app,hold,,below_trigger(rho=0.048)
1789323472.403,675.493,39.202,3.0044,1034.034,0.0379,0.8033,app,hold,,below_trigger(rho=0.038)
1789323474.406,677.495,39.202,3.0044,1034.034,0.0379,0.8033,app,hold,,below_trigger(rho=0.038)
1789323476.407,679.497,39.202,3.0044,1034.034,0.0379,0.8033,app,hold,,below_trigger(rho=0.038)
1789323478.415,681.504,39.202,3.0044,1034.034,0.0379,0.8033,app,hold,,below_trigger(rho=0.038)
1789323480.425,683.515,39.202,3.0044,1034.034,0.0379,0.8033,app,hold,,below_trigger(rho=0.038)
1789323482.434,685.524,39.202,3.0044,1034.034,0.0379,0.8033,app,hold,,below_trigger(rho=0.038)
1789323484.444,687.534,39.202,3.0044,1034.034,0.0379,0.8033,app,hold,,below_trigger(rho=0.038)
1789323486.454,689.544,39.202,3.0044,1034.034,0.0379,0.8033,app,hold,,below_trigger(rho=0.038)
1789323488.454,691.544,22.534,3.0188,1034.034,0.0218,0.7933,app,hold,,below_trigger(rho=0.022)
1789323490.459,693.548,22.534,3.0188,1034.034,0.0218,0.7933,app,hold,,below_trigger(rho=0.022)
