scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S5,local,50,50.033,3.7616,10.5660
S5,local,100,100.033,5.2691,59.1280
S5,local,150,150.000,3.6561,15.7459
S5,local,200,200.033,3.2467,19.4230
S5,local,250,249.300,5.6784,66.9112
S5,local,300,300.033,3.1716,23.9920
S5,local,350,350.000,2.6434,15.3643
S5,local,400,400.033,2.5882,13.8270
S5,local,450,450.033,2.7822,16.7500
S5,local,500,500.033,2.9201,20.6350
S5,local,550,550.033,3.3870,31.3050
S5,local,600,490.433,1068.5699,10081.1282
S5,local,650,474.667,2962.5612,8807.2140
S5,local,700,271.300,4733.2240,10663.4616
S5,local,750,358.900,3802.7919,5932.4070
S5,local,800,284.033,5147.3603,11152.2920
S5,local,850,255.433,6429.7224,13980.0805
S5,local,900,213.467,8376.1669,18989.7247
S5,local,950,227.733,5776.9480,13444.7163
S5,local,1000,212.467,14741.8124,36782.2194
