# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789316589.229276,service-a-deployment-69b95c556-2hknd,service-a,93.810,3.254271
1789316589.4600298,service-a-deployment-69b95c556-2hknd,istio-proxy,30.320,
1789316589.7774022,service-a-deployment-6b79bf9989-tkfjz,service-a,11.753,3.254271
1789316591.297651,service-a-deployment-69b95c556-2hknd,service-a,90.068,3.289087
1789316591.537411,service-a-deployment-69b95c556-2hknd,istio-proxy,28.032,
1789316591.9074519,service-a-deployment-6b79bf9989-tkfjz,service-a,14.381,3.289087
1789316593.431366,service-a-deployment-69b95c556-2hknd,service-a,90.701,3.237887
1789316593.674509,service-a-deployment-69b95c556-2hknd,istio-proxy,29.283,
1789316595.518966,service-a-deployment-69b95c556-2hknd,service-a,96.776,3.792895
1789316595.7705019,service-a-deployment-69b95c556-2hknd,istio-proxy,38.719,
1789316597.185426,service-a-deployment-69b95c556-2hknd,service-a,99.571,3.239935
1789316597.4295812,service-a-deployment-69b95c556-2hknd,istio-proxy,28.613,
1789316598.838494,service-a-deployment-69b95c556-2hknd,service-a,106.285,3.287039
1789316599.079297,service-a-deployment-69b95c556-2hknd,istio-proxy,29.232,
1789316600.4600801,service-a-deployment-69b95c556-2hknd,service-a,76.934,3.147775
1789316600.69723,service-a-deployment-69b95c556-2hknd,istio-proxy,24.483,
1789316602.092777,service-a-deployment-69b95c556-2hknd,service-a,88.921,3.438591
1789316602.33159,service-a-deployment-69b95c556-2hknd,istio-proxy,31.015,
1789316603.721194,service-a-deployment-69b95c556-2hknd,service-a,81.663,2.629631
1789316604.000422,service-a-deployment-69b95c556-2hknd,istio-proxy,33.768,
1789316605.385671,service-a-deployment-69b95c556-2hknd,service-a,87.978,3.076095
1789316605.633108,service-a-deployment-69b95c556-2hknd,istio-proxy,25.465,
1789316607.009835,service-a-deployment-69b95c556-2hknd,service-a,78.657,2.992127
1789316607.251511,service-a-deployment-69b95c556-2hknd,istio-proxy,26.426,
1789316608.6246378,service-a-deployment-69b95c556-2hknd,service-a,83.593,2.746367
1789316608.872687,service-a-deployment-69b95c556-2hknd,istio-proxy,27.112,
1789316610.259895,service-a-deployment-69b95c556-2hknd,service-a,102.577,3.334143
