scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S5,local,50,50.033,3.7616,10.5660,80.258,28.810,3.230
S5,local,100,100.033,5.2691,59.1280,166.546,60.871,4.566
S5,local,150,150.000,3.6561,15.7459,197.543,74.375,3.876
S5,local,200,200.033,3.2467,19.4230,210.638,81.293,3.807
S5,local,250,249.300,5.6784,66.9112,249.133,90.520,3.927
S5,local,300,300.033,3.1716,23.9920,284.053,107.553,3.589
S5,local,350,350.000,2.6434,15.3643,301.148,108.885,3.660
S5,local,400,400.033,2.5882,13.8270,332.826,119.870,3.534
S5,local,450,450.033,2.7822,16.7500,373.788,138.435,3.609
S5,local,500,500.033,2.9201,20.6350,414.178,156.003,3.799
S5,local,550,550.033,3.3870,31.3050,447.486,167.440,4.186
S5,local,600,490.433,1068.5699,10081.1282,579.387,367.817,8.266
S5,local,650,474.667,2962.5612,8807.2140,879.320,546.750,
S5,local,700,271.300,4733.2240,10663.4616,902.923,595.307,
S5,local,750,358.900,3802.7919,5932.4070,938.359,709.520,
S5,local,800,284.033,5147.3603,11152.2920,819.221,771.192,
S5,local,850,255.433,6429.7224,13980.0805,836.585,800.464,
S5,local,900,213.467,8376.1669,18989.7247,820.360,774.987,
S5,local,950,227.733,5776.9480,13444.7163,807.203,861.146,
S5,local,1000,212.467,14741.8124,36782.2194,794.099,812.380,
