scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S5,local,50,50.033,3.4987,7.8560
S5,local,100,100.033,2.9780,8.1080
S5,local,150,150.000,2.4262,6.4272
S5,local,200,200.033,2.1587,5.1180
S5,local,250,250.033,2.1274,6.0770
S5,local,300,300.033,2.0549,5.6330
S5,local,350,350.033,2.0553,5.9830
S5,local,400,400.033,2.2342,7.7460
S5,local,450,450.033,2.0789,6.5610
S5,local,500,500.033,2.1244,8.2360
S5,local,550,550.033,2.1381,7.9090
S5,local,600,590.033,35.4649,649.7310
S5,local,650,650.033,3.4327,37.8030
S5,local,700,692.367,56.7310,475.4151
S5,local,750,750.033,2.3867,39.6160
S5,local,800,800.000,1.5651,16.2918
S5,local,850,850.033,1.2966,7.2880
S5,local,900,900.033,1.7492,21.7210
S5,local,950,950.033,1.3358,9.3620
S5,local,1000,1000.033,1.5151,14.6290
