scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S5,local,50,50.033,3.4987,7.8560,83.988,25.001,3.242
S5,local,100,100.033,2.9780,8.1080,127.301,38.290,3.156
S5,local,150,150.000,2.4262,6.4272,151.729,46.990,3.097
S5,local,200,200.033,2.1587,5.1180,169.376,54.516,2.886
S5,local,250,250.033,2.1274,6.0770,198.699,66.918,2.867
S5,local,300,300.033,2.0549,5.6330,227.625,74.563,3.001
S5,local,350,350.033,2.0553,5.9830,264.597,86.239,3.348
S5,local,400,400.033,2.2342,7.7460,301.364,99.417,3.181
S5,local,450,450.033,2.0789,6.5610,326.183,104.537,3.167
S5,local,500,500.033,2.1244,8.2360,372.205,119.523,2.731
S5,local,550,550.033,2.1381,7.9090,402.096,131.926,2.935
S5,local,600,590.033,35.4649,649.7310,485.665,192.627,16.044
S5,local,650,650.033,3.4327,37.8030,526.258,178.014,4.755
S5,local,700,692.367,56.7310,475.4151,652.751,256.735,44.064
S5,local,750,750.033,2.3867,39.6160,345.683,127.442,3.629
S5,local,800,800.000,1.5651,16.2918,321.845,109.126,2.348
S5,local,850,850.033,1.2966,7.2880,325.937,110.016,2.047
S5,local,900,900.033,1.7492,21.7210,367.068,126.999,2.351
S5,local,950,950.033,1.3358,9.3620,370.748,124.684,2.183
S5,local,1000,1000.033,1.5151,14.6290,387.617,131.576,2.485
