# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789320881.8153338,service-a-deployment-5fd8db696c-2mgfg,service-a,9.498,2.719743
1789320882.0658529,service-a-deployment-7c6cccc7f6-27k28,service-a,49.320,2.719743
1789320882.198538,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,25.568,
1789320882.368591,service-a-deployment-7c6cccc7f6-vcx76,service-a,9.377,2.719743
1789320883.6973372,service-a-deployment-5fd8db696c-2mgfg,service-a,8.578,2.445311
1789320883.93327,service-a-deployment-7c6cccc7f6-27k28,service-a,41.821,2.445311
1789320884.0857348,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,20.404,
1789320884.257316,service-a-deployment-7c6cccc7f6-vcx76,service-a,8.746,2.445311
1789320885.591905,service-a-deployment-5fd8db696c-2mgfg,service-a,9.347,2.938879
1789320885.819083,service-a-deployment-7c6cccc7f6-27k28,service-a,52.542,2.938879
1789320885.956022,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,24.527,
1789320886.122571,service-a-deployment-7c6cccc7f6-vcx76,service-a,9.182,2.938879
1789320887.4601889,service-a-deployment-5fd8db696c-2mgfg,service-a,9.288,3.233791
1789320887.6886258,service-a-deployment-7c6cccc7f6-27k28,service-a,45.657,3.233791
1789320887.8216882,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,25.729,
1789320887.994873,service-a-deployment-7c6cccc7f6-vcx76,service-a,10.093,3.233791
1789320889.3469582,service-a-deployment-5fd8db696c-2mgfg,service-a,9.158,2.994175
1789320889.5743291,service-a-deployment-7c6cccc7f6-27k28,service-a,35.982,2.994175
1789320889.7025542,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,17.712,
1789320889.877012,service-a-deployment-7c6cccc7f6-vcx76,service-a,8.876,2.994175
1789320891.2160718,service-a-deployment-5fd8db696c-2mgfg,service-a,9.326,2.998271
1789320891.444962,service-a-deployment-7c6cccc7f6-27k28,service-a,56.839,2.998271
1789320891.591268,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,21.097,
1789320891.757099,service-a-deployment-7c6cccc7f6-vcx76,service-a,9.176,2.998271
1789320893.0905862,service-a-deployment-5fd8db696c-2mgfg,service-a,8.927,3.082239
1789320893.3423831,service-a-deployment-7c6cccc7f6-27k28,service-a,42.895,3.082239
1789320893.483857,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,19.338,
1789320893.677807,service-a-deployment-7c6cccc7f6-vcx76,service-a,9.208,3.082239
1789320895.0106618,service-a-deployment-5fd8db696c-2mgfg,service-a,9.545,2.838527
1789320895.248032,service-a-deployment-7c6cccc7f6-27k28,service-a,39.454,2.838527
1789320895.395256,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,20.724,
1789320895.565993,service-a-deployment-7c6cccc7f6-vcx76,service-a,8.973,2.838527
1789320896.902091,service-a-deployment-5fd8db696c-2mgfg,service-a,8.889,2.945023
1789320897.133821,service-a-deployment-7c6cccc7f6-27k28,service-a,36.351,2.945023
1789320897.272637,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,22.095,
1789320897.437163,service-a-deployment-7c6cccc7f6-vcx76,service-a,10.674,2.945023
1789320898.778194,service-a-deployment-5fd8db696c-2mgfg,service-a,10.469,2.922495
1789320899.033598,service-a-deployment-7c6cccc7f6-27k28,service-a,41.923,2.922495
1789320899.163141,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,21.012,
1789320899.3356469,service-a-deployment-7c6cccc7f6-vcx76,service-a,9.363,2.922495
1789320900.634275,service-a-deployment-5fd8db696c-2mgfg,service-a,9.056,3.196927
1789320900.8738902,service-a-deployment-7c6cccc7f6-27k28,service-a,39.893,3.196927
1789320901.004809,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,22.067,
1789320902.260095,service-a-deployment-5fd8db696c-2mgfg,service-a,8.931,3.188735
1789320902.486565,service-a-deployment-7c6cccc7f6-27k28,service-a,41.591,3.188735
1789320902.6309462,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,18.278,
1789320903.9090948,service-a-deployment-7c6cccc7f6-27k28,service-a,42.237,2.887679
1789320904.056201,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,25.182,
1789320905.358132,service-a-deployment-7c6cccc7f6-27k28,service-a,40.410,3.700735
1789320905.5025668,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,21.071,
1789320906.779974,service-a-deployment-7c6cccc7f6-27k28,service-a,35.875,3.012607
1789320906.9544609,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,24.397,
1789320908.19607,service-a-deployment-7c6cccc7f6-27k28,service-a,58.744,3.289087
1789320908.332793,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,17.700,
1789320909.5989451,service-a-deployment-7c6cccc7f6-27k28,service-a,39.917,3.018751
1789320909.73777,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,22.133,
1789320911.0011258,service-a-deployment-7c6cccc7f6-27k28,service-a,58.611,2.828287
1789320911.1495051,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,35.157,
1789320912.4295611,service-a-deployment-7c6cccc7f6-27k28,service-a,52.905,3.086335
1789320912.5744698,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,30.024,
1789320913.841789,service-a-deployment-7c6cccc7f6-27k28,service-a,54.634,2.940927
1789320913.9963179,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,27.215,
1789320915.268024,service-a-deployment-7c6cccc7f6-27k28,service-a,61.745,3.065855
1789320915.414878,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,30.828,
1789320916.671768,service-a-deployment-7c6cccc7f6-27k28,service-a,54.427,2.426879
1789320916.807662,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,26.269,
1789320918.076045,service-a-deployment-7c6cccc7f6-27k28,service-a,63.248,2.420735
1789320918.20787,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,33.121,
1789320919.47379,service-a-deployment-7c6cccc7f6-27k28,service-a,55.044,2.387967
1789320919.615579,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,27.776,
1789320920.885003,service-a-deployment-7c6cccc7f6-27k28,service-a,62.645,2.459647
1789320921.046783,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,41.108,
1789320922.332766,service-a-deployment-7c6cccc7f6-27k28,service-a,49.089,2.476031
1789320922.5182981,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,32.331,
1789320923.8010418,service-a-deployment-7c6cccc7f6-27k28,service-a,52.514,2.476031
1789320923.944213,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,29.985,
1789320925.2161942,service-a-deployment-7c6cccc7f6-27k28,service-a,62.752,2.603007
1789320925.357308,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,31.309,
1789320926.594042,service-a-deployment-7c6cccc7f6-27k28,service-a,49.002,2.822143
1789320926.740384,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,32.084,
1789320928.011292,service-a-deployment-7c6cccc7f6-27k28,service-a,56.663,2.457599
1789320928.1501682,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,31.762,
1789320929.429139,service-a-deployment-7c6cccc7f6-27k28,service-a,54.853,2.410495
1789320929.576169,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,32.466,
1789320930.833528,service-a-deployment-7c6cccc7f6-27k28,service-a,52.362,2.533375
1789320930.970581,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,37.412,
1789320932.232073,service-a-deployment-7c6cccc7f6-27k28,service-a,53.746,2.498559
1789320932.374607,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,26.947,
1789320933.633002,service-a-deployment-7c6cccc7f6-27k28,service-a,46.968,2.443263
1789320933.776955,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,27.829,
1789320935.028099,service-a-deployment-7c6cccc7f6-27k28,service-a,62.483,2.553855
1789320935.166906,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,34.937,
1789320936.4508538,service-a-deployment-7c6cccc7f6-27k28,service-a,70.112,2.406399
1789320936.603688,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,33.853,
1789320937.8793652,service-a-deployment-7c6cccc7f6-27k28,service-a,46.286,2.549759
1789320938.024817,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,30.170,
1789320939.278804,service-a-deployment-7c6cccc7f6-27k28,service-a,56.400,2.705407
1789320939.413624,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,34.263,
1789320940.673478,service-a-deployment-7c6cccc7f6-27k28,service-a,46.312,2.488319
1789320940.816113,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,36.325,
1789320942.0753112,service-a-deployment-7c6cccc7f6-27k28,service-a,75.310,2.451455
1789320942.226639,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,38.100,
1789320943.463061,service-a-deployment-7c6cccc7f6-27k28,service-a,59.663,2.646015
1789320943.6005828,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,44.348,
1789320944.85476,service-a-deployment-7c6cccc7f6-27k28,service-a,58.666,2.502655
1789320944.993333,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,36.970,
1789320946.258709,service-a-deployment-7c6cccc7f6-27k28,service-a,56.909,3.092479
1789320946.3976362,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,35.692,
1789320947.654468,service-a-deployment-7c6cccc7f6-27k28,service-a,58.390,3.219455
1789320947.791019,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,41.854,
1789320949.0465899,service-a-deployment-7c6cccc7f6-27k28,service-a,47.918,3.162111
1789320949.192513,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,37.442,
1789320950.450793,service-a-deployment-7c6cccc7f6-27k28,service-a,62.744,3.139583
1789320950.581229,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,38.456,
1789320951.83746,service-a-deployment-7c6cccc7f6-27k28,service-a,56.133,3.074047
1789320951.992331,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,44.627,
1789320953.2501628,service-a-deployment-7c6cccc7f6-27k28,service-a,55.251,3.098623
1789320953.425319,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,39.799,
1789320954.710868,service-a-deployment-7c6cccc7f6-27k28,service-a,61.374,3.121151
1789320954.86568,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,35.209,
1789320956.167317,service-a-deployment-7c6cccc7f6-27k28,service-a,62.242,3.063807
1789320956.329476,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,53.472,
1789320957.605487,service-a-deployment-7c6cccc7f6-27k28,service-a,64.575,3.106815
1789320957.7535412,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,33.661,
1789320959.0293288,service-a-deployment-7c6cccc7f6-27k28,service-a,52.618,3.158015
1789320959.180662,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,41.778,
1789320960.4101388,service-a-deployment-7c6cccc7f6-27k28,service-a,60.472,3.297279
1789320960.557177,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,44.459,
1789320961.833907,service-a-deployment-7c6cccc7f6-27k28,service-a,62.885,3.194879
1789320961.978276,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,45.000,
1789320963.229722,service-a-deployment-7c6cccc7f6-27k28,service-a,61.786,3.172351
1789320963.373259,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,46.099,
1789320964.613756,service-a-deployment-7c6cccc7f6-27k28,service-a,46.857,3.084287
1789320964.758275,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,36.093,
1789320966.032768,service-a-deployment-7c6cccc7f6-27k28,service-a,78.322,3.266559
1789320966.1638558,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,39.737,
1789320967.425985,service-a-deployment-7c6cccc7f6-27k28,service-a,49.759,3.278847
1789320967.5813298,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,42.290,
1789320968.829961,service-a-deployment-7c6cccc7f6-27k28,service-a,55.250,3.115007
1789320968.96495,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,35.809,
1789320970.20712,service-a-deployment-7c6cccc7f6-27k28,service-a,48.731,3.184639
1789320970.3487911,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,41.451,
1789320971.613701,service-a-deployment-7c6cccc7f6-27k28,service-a,57.182,3.133439
1789320971.757012,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,52.720,
1789320973.005171,service-a-deployment-7c6cccc7f6-27k28,service-a,81.041,3.457023
1789320973.15468,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,61.578,
1789320974.4183218,service-a-deployment-7c6cccc7f6-27k28,service-a,54.431,3.149823
1789320974.563584,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,42.700,
1789320975.843692,service-a-deployment-7c6cccc7f6-27k28,service-a,81.524,4.001791
1789320976.0475771,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,73.657,
1789320977.306245,service-a-deployment-7c6cccc7f6-27k28,service-a,71.220,3.399679
1789320977.4742389,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,49.256,
1789320978.73915,service-a-deployment-7c6cccc7f6-27k28,service-a,75.737,2.824191
1789320978.8732271,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,45.551,
1789320980.1249201,service-a-deployment-7c6cccc7f6-27k28,service-a,59.151,2.820095
1789320980.270236,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,49.416,
1789320981.597597,service-a-deployment-7c6cccc7f6-27k28,service-a,90.440,2.807807
1789320981.735282,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,61.196,
1789320982.99737,service-a-deployment-7c6cccc7f6-27k28,service-a,55.111,2.805759
1789320983.138309,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,43.549,
1789320984.406503,service-a-deployment-7c6cccc7f6-27k28,service-a,71.829,2.807807
1789320984.555926,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,40.481,
1789320985.819445,service-a-deployment-7c6cccc7f6-27k28,service-a,65.933,2.830335
1789320985.971634,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,58.076,
1789320987.230331,service-a-deployment-7c6cccc7f6-27k28,service-a,75.319,2.811903
1789320987.36383,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,48.531,
1789320988.6316302,service-a-deployment-7c6cccc7f6-27k28,service-a,59.449,2.848767
1789320988.777322,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,48.148,
1789320990.0296352,service-a-deployment-7c6cccc7f6-27k28,service-a,70.914,2.768895
1789320990.166451,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,52.809,
1789320991.4281971,service-a-deployment-7c6cccc7f6-27k28,service-a,61.299,2.770943
1789320991.568328,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,53.208,
1789320992.831216,service-a-deployment-7c6cccc7f6-27k28,service-a,68.355,2.799615
1789320992.973204,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,44.546,
1789320994.227211,service-a-deployment-7c6cccc7f6-27k28,service-a,49.926,2.729983
1789320994.366248,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,38.380,
1789320995.617307,service-a-deployment-7c6cccc7f6-27k28,service-a,57.854,2.777087
1789320995.756212,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,51.326,
1789320997.015928,service-a-deployment-7c6cccc7f6-27k28,service-a,75.084,2.844671
1789320997.1614668,service-a-deployment-7c6cccc7f6-27k28,istio-proxy,50.801,
