scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S3,local,50,50.033,2.3907,6.4630,23.848,21.681,2.974
S3,local,100,100.033,1.8656,5.4440,55.238,31.177,2.613
S3,local,150,150.033,1.5920,4.3050,58.629,40.067,3.020
S3,local,200,200.033,1.5823,6.4940,65.933,50.099,2.970
S3,local,250,250.033,1.3386,3.9430,67.251,55.154,2.901
S3,local,300,300.000,1.3398,4.0681,75.412,64.159,2.503
S3,local,350,350.033,1.2364,4.1760,77.583,66.248,3.131
S3,local,400,400.000,1.2234,4.8502,86.368,75.636,2.867
S3,local,450,450.033,1.2504,4.8150,90.340,80.804,3.029
S3,local,500,500.033,1.8593,17.7340,113.361,97.770,3.017
S3,local,550,549.967,3.0148,39.2772,142.324,123.395,3.387
S3,local,600,600.033,1.4478,13.5540,119.259,106.977,2.476
S3,local,650,650.033,1.5612,16.0830,121.521,113.154,2.794
S3,local,700,700.033,1.2855,11.3380,118.937,112.120,2.296
S3,local,750,750.033,1.2486,10.6510,119.508,115.441,2.219
S3,local,800,800.000,2.5425,37.6647,169.701,172.640,2.680
S3,local,850,850.033,3.6345,52.8470,223.118,232.577,2.886
S3,local,900,900.033,4.1081,81.3360,227.515,236.504,3.280
S3,local,950,950.033,2.7768,39.2230,221.829,231.646,2.947
S3,local,1000,1000.033,3.2255,53.8370,234.246,246.804,2.751
