# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789299373.252418,service-a-deployment-7f89c7bc99-8rfsr,service-a,40.774,2.547711
1789299373.493377,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,23.180,
1789299374.879238,service-a-deployment-7f89c7bc99-8rfsr,service-a,57.599,2.803711
1789299375.117867,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,26.850,
1789299376.492096,service-a-deployment-7f89c7bc99-8rfsr,service-a,49.441,2.836479
1789299376.729483,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,26.756,
1789299378.112577,service-a-deployment-7f89c7bc99-8rfsr,service-a,42.610,2.662399
1789299378.367352,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,22.503,
1789299379.74418,service-a-deployment-7f89c7bc99-8rfsr,service-a,53.164,2.955263
1789299379.995886,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,30.117,
1789299381.382999,service-a-deployment-7f89c7bc99-8rfsr,service-a,48.426,2.570239
1789299381.639457,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,22.364,
1789299383.01476,service-a-deployment-7f89c7bc99-8rfsr,service-a,42.215,2.793471
1789299383.2460191,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,22.976,
1789299384.621856,service-a-deployment-7f89c7bc99-8rfsr,service-a,40.947,2.500607
1789299384.884796,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,23.580,
1789299386.316449,service-a-deployment-7f89c7bc99-8rfsr,service-a,52.336,2.494463
1789299386.548655,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,28.377,
1789299387.953032,service-a-deployment-7f89c7bc99-8rfsr,service-a,51.918,2.533375
1789299388.237705,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,30.872,
1789299389.646687,service-a-deployment-7f89c7bc99-8rfsr,service-a,60.109,2.793471
1789299389.879064,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,23.806,
1789299391.2954822,service-a-deployment-7f89c7bc99-8rfsr,service-a,48.320,2.969599
1789299391.537904,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,29.506,
1789299392.935324,service-a-deployment-7f89c7bc99-8rfsr,service-a,54.164,2.803711
1789299393.188529,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,27.846,
1789299394.590533,service-a-deployment-7f89c7bc99-8rfsr,service-a,44.851,2.334719
1789299394.8205068,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,29.426,
1789299396.221813,service-a-deployment-7f89c7bc99-8rfsr,service-a,47.927,2.783231
1789299396.453037,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,27.318,
1789299397.847081,service-a-deployment-7f89c7bc99-8rfsr,service-a,38.129,3.096575
1789299398.069918,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,23.237,
1789299399.454259,service-a-deployment-7f89c7bc99-8rfsr,service-a,52.637,2.621439
1789299399.679789,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,24.222,
1789299401.073867,service-a-deployment-7f89c7bc99-8rfsr,service-a,42.700,2.519039
1789299401.299594,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,26.075,
1789299402.69093,service-a-deployment-7f89c7bc99-8rfsr,service-a,53.995,2.439167
1789299402.928343,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,34.946,
1789299404.314744,service-a-deployment-7f89c7bc99-8rfsr,service-a,73.471,2.557951
1789299404.5486872,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,38.148,
1789299405.9474041,service-a-deployment-7f89c7bc99-8rfsr,service-a,59.488,2.525183
1789299406.184344,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,37.441,
1789299407.570318,service-a-deployment-7f89c7bc99-8rfsr,service-a,64.356,2.703359
1789299407.804545,service-a-deployment-7f89c7bc99-8rfsr,istio-proxy,39.590,
