scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S1,local,50,50.033,3.0704,7.5180
S1,local,100,99.967,5.4593,80.1664
S1,local,150,150.033,3.1008,18.5610
S1,local,200,200.000,4.1937,55.6502
S1,local,250,250.033,1.9840,7.9210
S1,local,300,300.033,2.2997,12.5620
S1,local,350,350.000,2.0792,10.9303
S1,local,400,400.033,2.3538,15.8550
S1,local,450,450.033,3.8362,47.4480
S1,local,500,495.433,16.0682,318.8703
S1,local,550,549.700,4.4164,89.2300
S1,local,600,600.033,1.9076,12.5690
S1,local,650,650.033,1.9429,12.6900
S1,local,700,700.000,2.2622,22.1551
S1,local,750,750.033,2.0451,14.0760
S1,local,800,800.033,1.9631,12.8510
S1,local,850,850.033,3.0855,35.3810
S1,local,900,900.033,2.1312,17.5550
S1,local,950,940.833,15.8469,390.3680
S1,local,1000,1000.000,4.5143,69.6708
