scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S1,local,50,50.000,3.4136,9.7074,,,
S1,local,100,100.033,2.3186,5.5080,,,
S1,local,150,150.033,2.0103,5.5460,,,
S1,local,200,200.033,1.8704,5.8040,,,
S1,local,250,250.000,1.7581,7.4951,,,
S1,local,300,300.000,1.7029,7.0310,,,
S1,local,350,350.000,1.6129,7.5112,,,
S1,local,400,400.033,1.6087,7.7630,,,
S1,local,450,450.033,1.5518,7.3200,,,
S1,local,500,500.033,1.5972,8.5330,,,
S1,local,550,550.033,1.5855,8.5280,,,
S1,local,600,600.033,1.5802,8.9330,,,
S1,local,650,648.233,6.5164,194.1115,,,
S1,local,700,700.000,2.3806,25.9180,,,
S1,local,750,750.033,1.6028,9.9220,,,
S1,local,800,800.033,1.5329,8.2390,,,
S1,local,850,850.000,1.6787,11.5830,,,
S1,local,900,899.700,3.3034,39.4722,,,
S1,local,950,950.033,1.7188,10.6130,,,
S1,local,1000,1000.000,1.8330,12.8072,,,
