scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S3,local,50,50.000,3.5993,15.7667,36.610,28.533,2.485
S3,local,100,100.033,2.4735,8.2180,73.279,39.167,
S3,local,150,150.033,2.1377,7.7330,77.222,49.776,
S3,local,200,200.033,1.9619,7.9220,84.997,60.120,
S3,local,250,250.033,1.9116,8.4190,98.006,72.838,
S3,local,300,300.033,1.8644,9.1690,102.143,80.867,
S3,local,350,350.033,1.8405,9.5330,113.562,93.387,
S3,local,400,400.000,1.9141,11.3932,126.375,104.542,
S3,local,450,450.033,2.1441,15.8680,133.465,117.612,
S3,local,500,500.033,1.8607,11.4810,146.470,127.759,
S3,local,550,550.033,2.1125,15.9120,159.529,144.142,
S3,local,600,600.033,2.3545,24.4280,170.234,154.874,
S3,local,650,650.033,1.8872,13.1680,173.474,161.482,
S3,local,700,700.033,1.8918,12.9870,185.361,172.516,
S3,local,750,750.033,2.0304,15.2410,195.695,185.741,
S3,local,800,800.033,1.8899,12.7110,204.281,194.466,
S3,local,850,850.033,2.2822,20.1390,221.839,214.939,
S3,local,900,900.033,2.9141,31.5830,230.579,226.510,
S3,local,950,945.167,11.7244,23.5637,250.437,246.149,
S3,local,1000,946.067,127.7371,1322.1174,452.297,471.025,
