TIMESTAMP,POD,CPU,MEMORY
2025-11-17T23:56:58,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-17T23:56:58,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:56:58,ingress-nginx-controller-6ccdb49bd4-vwfs4,4m,135Mi
2025-11-17T23:57:03,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-17T23:57:03,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:57:03,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,135Mi
2025-11-17T23:57:08,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-17T23:57:08,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:57:08,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,135Mi
2025-11-17T23:57:13,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-17T23:57:13,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:57:13,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,135Mi
2025-11-17T23:57:18,service-a-deployment-6bd85fb6c9-crbb6,2m,59Mi
2025-11-17T23:57:18,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:57:18,ingress-nginx-controller-6ccdb49bd4-vwfs4,8m,136Mi
2025-11-17T23:57:24,service-a-deployment-6bd85fb6c9-crbb6,2m,59Mi
2025-11-17T23:57:24,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:57:24,ingress-nginx-controller-6ccdb49bd4-vwfs4,8m,136Mi
2025-11-17T23:57:29,service-a-deployment-6bd85fb6c9-crbb6,2m,59Mi
2025-11-17T23:57:29,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:57:29,ingress-nginx-controller-6ccdb49bd4-vwfs4,8m,136Mi
2025-11-17T23:57:34,service-a-deployment-6bd85fb6c9-crbb6,39m,39Mi
2025-11-17T23:57:34,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:57:34,ingress-nginx-controller-6ccdb49bd4-vwfs4,48m,140Mi
2025-11-17T23:57:39,service-a-deployment-6bd85fb6c9-crbb6,39m,39Mi
2025-11-17T23:57:39,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:57:39,ingress-nginx-controller-6ccdb49bd4-vwfs4,48m,140Mi
2025-11-17T23:57:44,service-a-deployment-6bd85fb6c9-crbb6,39m,39Mi
2025-11-17T23:57:44,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:57:44,ingress-nginx-controller-6ccdb49bd4-vwfs4,48m,140Mi
2025-11-17T23:57:49,service-a-deployment-6bd85fb6c9-crbb6,63m,47Mi
2025-11-17T23:57:49,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:57:49,ingress-nginx-controller-6ccdb49bd4-vwfs4,58m,142Mi
2025-11-17T23:57:54,service-a-deployment-6bd85fb6c9-crbb6,63m,47Mi
2025-11-17T23:57:54,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:57:54,ingress-nginx-controller-6ccdb49bd4-vwfs4,58m,142Mi
2025-11-17T23:57:59,service-a-deployment-6bd85fb6c9-crbb6,63m,47Mi
2025-11-17T23:57:59,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:57:59,ingress-nginx-controller-6ccdb49bd4-vwfs4,58m,142Mi
2025-11-17T23:58:04,service-a-deployment-6bd85fb6c9-crbb6,52m,60Mi
2025-11-17T23:58:04,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:58:04,ingress-nginx-controller-6ccdb49bd4-vwfs4,50m,142Mi
2025-11-17T23:58:10,service-a-deployment-6bd85fb6c9-crbb6,52m,60Mi
2025-11-17T23:58:10,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:58:10,ingress-nginx-controller-6ccdb49bd4-vwfs4,50m,142Mi
2025-11-17T23:58:15,service-a-deployment-6bd85fb6c9-crbb6,52m,60Mi
2025-11-17T23:58:15,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:58:15,ingress-nginx-controller-6ccdb49bd4-vwfs4,50m,142Mi
2025-11-17T23:58:20,service-a-deployment-6bd85fb6c9-crbb6,52m,60Mi
2025-11-17T23:58:20,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:58:20,ingress-nginx-controller-6ccdb49bd4-vwfs4,51m,142Mi
2025-11-17T23:58:25,service-a-deployment-6bd85fb6c9-crbb6,52m,60Mi
2025-11-17T23:58:25,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:58:25,ingress-nginx-controller-6ccdb49bd4-vwfs4,51m,142Mi
2025-11-17T23:58:30,service-a-deployment-6bd85fb6c9-crbb6,52m,60Mi
2025-11-17T23:58:30,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:58:30,ingress-nginx-controller-6ccdb49bd4-vwfs4,51m,142Mi
2025-11-17T23:58:35,service-a-deployment-6bd85fb6c9-crbb6,47m,60Mi
2025-11-17T23:58:35,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:58:35,ingress-nginx-controller-6ccdb49bd4-vwfs4,49m,143Mi
2025-11-17T23:58:40,service-a-deployment-6bd85fb6c9-crbb6,47m,60Mi
2025-11-17T23:58:40,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:58:40,ingress-nginx-controller-6ccdb49bd4-vwfs4,49m,143Mi
2025-11-17T23:58:45,service-a-deployment-6bd85fb6c9-crbb6,47m,60Mi
2025-11-17T23:58:45,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:58:45,ingress-nginx-controller-6ccdb49bd4-vwfs4,49m,143Mi
2025-11-17T23:58:51,service-a-deployment-6bd85fb6c9-crbb6,27m,60Mi
2025-11-17T23:58:51,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:58:51,ingress-nginx-controller-6ccdb49bd4-vwfs4,27m,139Mi
2025-11-17T23:58:56,service-a-deployment-6bd85fb6c9-crbb6,27m,60Mi
2025-11-17T23:58:56,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:58:56,ingress-nginx-controller-6ccdb49bd4-vwfs4,27m,139Mi
2025-11-17T23:59:01,service-a-deployment-6bd85fb6c9-crbb6,27m,60Mi
2025-11-17T23:59:01,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:59:01,ingress-nginx-controller-6ccdb49bd4-vwfs4,27m,139Mi
2025-11-17T23:59:06,service-a-deployment-6bd85fb6c9-crbb6,1m,60Mi
2025-11-17T23:59:06,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:59:06,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-17T23:59:11,service-a-deployment-6bd85fb6c9-crbb6,1m,60Mi
2025-11-17T23:59:11,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:59:11,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-17T23:59:16,service-a-deployment-6bd85fb6c9-crbb6,1m,60Mi
2025-11-17T23:59:16,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:59:16,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-17T23:59:21,service-a-deployment-6bd85fb6c9-crbb6,1m,60Mi
2025-11-17T23:59:21,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:59:21,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-17T23:59:26,service-a-deployment-6bd85fb6c9-crbb6,1m,60Mi
2025-11-17T23:59:26,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:59:26,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-17T23:59:31,service-a-deployment-6bd85fb6c9-crbb6,1m,60Mi
2025-11-17T23:59:31,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:59:31,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-17T23:59:36,service-a-deployment-6bd85fb6c9-crbb6,0m,60Mi
2025-11-17T23:59:36,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
