TIMESTAMP,POD,CPU,MEMORY
2025-11-18T00:06:37,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:06:37,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:06:42,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:06:42,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:06:47,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:06:47,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:06:52,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:06:52,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:06:57,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:06:57,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:07:02,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:07:02,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:07:07,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:07:07,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:07:12,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:07:12,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:07:17,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:07:17,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:07:23,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:07:23,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:07:28,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:07:28,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:07:33,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:07:33,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:07:38,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:07:38,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:07:43,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:07:43,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:07:48,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:07:48,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:07:53,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:07:53,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:07:58,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:07:58,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:08:03,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:08:03,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:08:09,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:08:09,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:08:14,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
