scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S5,local,50,50.033,3.5260,8.1240
S5,local,100,100.033,2.7078,7.0660
S5,local,150,150.033,2.7113,9.3530
S5,local,200,200.033,2.6517,11.3540
S5,local,250,250.033,2.9310,13.4980
S5,local,300,300.000,2.5064,11.9881
S5,local,350,350.033,2.6763,16.5020
S5,local,400,400.033,2.5780,14.7180
S5,local,450,450.033,4.3590,65.8040
S5,local,500,500.000,3.3537,35.6140
S5,local,550,550.033,2.9939,22.4370
S5,local,600,600.033,4.6248,81.7990
S5,local,650,650.033,3.5726,37.2600
S5,local,700,700.033,2.8201,18.0580
S5,local,750,750.000,2.9255,20.7082
S5,local,800,495.833,1101.9937,13013.8908
S5,local,850,123.367,10454.2031,23856.4700
S5,local,900,129.767,13492.7403,25018.7816
S5,local,950,74.833,18208.3663,31648.1514
S5,local,1000,185.800,15629.3355,33131.7302
