scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S5,local,50,50.033,3.5260,8.1240,78.117,27.232,3.093
S5,local,100,100.033,2.7078,7.0660,123.392,37.020,2.919
S5,local,150,150.033,2.7113,9.3530,155.931,51.372,3.132
S5,local,200,200.033,2.6517,11.3540,191.739,66.400,3.276
S5,local,250,250.033,2.9310,13.4980,229.844,85.505,3.500
S5,local,300,300.000,2.5064,11.9881,253.244,89.504,3.064
S5,local,350,350.033,2.6763,16.5020,296.263,106.016,3.255
S5,local,400,400.033,2.5780,14.7180,329.784,119.329,3.810
S5,local,450,450.033,4.3590,65.8040,376.823,139.966,4.825
S5,local,500,500.000,3.3537,35.6140,420.039,151.737,4.455
S5,local,550,550.033,2.9939,22.4370,443.814,158.401,3.577
S5,local,600,600.033,4.6248,81.7990,486.010,178.901,4.073
S5,local,650,650.033,3.5726,37.2600,511.120,192.477,3.498
S5,local,700,700.033,2.8201,18.0580,537.727,197.461,3.260
S5,local,750,750.000,2.9255,20.7082,580.415,215.201,3.480
S5,local,800,495.833,1101.9937,13013.8908,628.385,370.463,3.996
S5,local,850,123.367,10454.2031,23856.4700,659.359,806.997,
S5,local,900,129.767,13492.7403,25018.7816,594.176,745.776,
S5,local,950,74.833,18208.3663,31648.1514,587.817,882.662,
S5,local,1000,185.800,15629.3355,33131.7302,793.369,838.568,
