# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789304470.2048278,service-a-s9-deployment-556cb8c47b-sgc28,service-a,127.807,2.961407
1789304470.349207,service-a-s9-deployment-556cb8c47b-sgc28,istio-proxy,20.658,
1789304471.6449049,service-a-s9-deployment-556cb8c47b-sgc28,service-a,122.501,2.920447
1789304471.799808,service-a-s9-deployment-556cb8c47b-sgc28,istio-proxy,27.771,
1789304473.049758,service-a-s9-deployment-556cb8c47b-sgc28,service-a,112.733,2.719743
1789304473.182903,service-a-s9-deployment-556cb8c47b-sgc28,istio-proxy,22.171,
1789304474.445589,service-a-s9-deployment-556cb8c47b-sgc28,service-a,112.011,2.779135
1789304474.58885,service-a-s9-deployment-556cb8c47b-sgc28,istio-proxy,22.484,
1789304475.8715122,service-a-s9-deployment-556cb8c47b-sgc28,service-a,110.774,2.967551
1789304476.011242,service-a-s9-deployment-556cb8c47b-sgc28,istio-proxy,22.303,
1789304477.256626,service-a-s9-deployment-556cb8c47b-sgc28,service-a,113.546,3.246079
1789304477.392357,service-a-s9-deployment-556cb8c47b-sgc28,istio-proxy,22.312,
1789304478.666091,service-a-s9-deployment-556cb8c47b-sgc28,service-a,137.571,2.750463
1789304478.8107572,service-a-s9-deployment-556cb8c47b-sgc28,istio-proxy,22.854,
1789304480.055509,service-a-s9-deployment-556cb8c47b-sgc28,service-a,101.972,2.969599
1789304480.2030761,service-a-s9-deployment-556cb8c47b-sgc28,istio-proxy,21.670,
1789304481.47199,service-a-s9-deployment-556cb8c47b-sgc28,service-a,110.437,3.104767
1789304481.619903,service-a-s9-deployment-556cb8c47b-sgc28,istio-proxy,22.455,
1789304482.8828979,service-a-s9-deployment-556cb8c47b-sgc28,service-a,87.532,2.848767
1789304483.02265,service-a-s9-deployment-556cb8c47b-sgc28,istio-proxy,16.322,
1789304484.2915142,service-a-s9-deployment-556cb8c47b-sgc28,service-a,98.942,2.885631
1789304484.43234,service-a-s9-deployment-556cb8c47b-sgc28,istio-proxy,19.322,
1789304485.662534,service-a-s9-deployment-556cb8c47b-sgc28,service-a,89.566,2.971647
1789304485.807051,service-a-s9-deployment-556cb8c47b-sgc28,istio-proxy,18.896,
1789304487.077544,service-a-s9-deployment-556cb8c47b-sgc28,service-a,109.495,2.992127
