scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S9,local,50,50.000,3.0599,6.6441
S9,local,100,100.033,2.3338,5.8110
S9,local,150,150.033,2.0693,5.2970
S9,local,200,200.033,2.1020,8.1210
S9,local,250,248.133,43.5294,774.0350
S9,local,300,300.000,3.7170,22.7962
S9,local,350,350.000,3.0585,19.2872
S9,local,400,400.033,2.4760,14.3770
S9,local,450,450.033,2.3719,9.5000
S9,local,500,494.867,28.9935,501.0105
S9,local,550,550.033,5.8608,96.9470
S9,local,600,594.133,39.6609,853.6319
S9,local,650,647.600,52.3204,826.6933
S9,local,700,689.133,93.4427,2099.2434
S9,local,750,723.800,381.9979,9525.3565
S9,local,800,394.833,1338.1202,9647.2417
S9,local,850,17.367,6036.8850,15499.3586
S9,local,900,69.500,9375.7474,37451.0482
S9,local,950,106.333,7701.8619,35509.3175
S9,local,1000,140.167,13854.7332,38089.3985
