t_unix,t_rel_s,lambda_rps,eventloop_lag_p99_ms,mu_eff_rps,rho,latency_mean_ms,mode,decision,actuation_latency_ms,trigger_reason
1789302109.958,0.000,118.822,3.2297,828.295,0.1435,0.8318,app,hold,,below_trigger(rho=0.143)
1789302111.962,2.004,118.822,3.2297,828.295,0.1435,0.8318,app,hold,,below_trigger(rho=0.143)
1789302113.967,4.009,118.822,3.2297,828.295,0.1435,0.8318,app,hold,,below_trigger(rho=0.143)
1789302115.971,6.013,118.822,3.2297,828.295,0.1435,0.8318,app,hold,,below_trigger(rho=0.143)
1789302117.974,8.016,118.822,3.2297,828.295,0.1435,0.8318,app,hold,,below_trigger(rho=0.143)
1789302119.975,10.017,142.892,4.0059,754.287,0.1894,0.8060,app,hold,,below_trigger(rho=0.189)
1789302121.978,12.020,142.892,4.0059,702.481,0.2034,0.8060,app,hold,,below_trigger(rho=0.203)
1789302123.980,14.022,142.892,4.0059,666.217,0.2145,0.8060,app,hold,,below_trigger(rho=0.214)
1789302125.980,16.022,142.892,4.0059,640.832,0.2230,0.8060,app,hold,,below_trigger(rho=0.223)
1789302127.981,18.023,142.892,4.0059,623.062,0.2293,0.8060,app,hold,,below_trigger(rho=0.229)
1789302129.985,20.027,142.892,4.0059,610.624,0.2340,0.8060,app,hold,,below_trigger(rho=0.234)
1789302131.990,22.032,142.892,4.0059,601.917,0.2374,0.8060,app,hold,,below_trigger(rho=0.237)
1789302133.993,24.034,142.892,4.0059,595.822,0.2398,0.8060,app,hold,,below_trigger(rho=0.240)
1789302135.995,26.036,190.715,4.0448,656.215,0.2906,0.8064,app,hold,,below_trigger(rho=0.291)
1789302137.995,28.037,190.715,4.0448,698.490,0.2730,0.8064,app,hold,,below_trigger(rho=0.273)
1789302139.997,30.038,190.715,4.0448,728.082,0.2619,0.8064,app,hold,,below_trigger(rho=0.262)
1789302141.997,32.039,190.715,4.0448,748.797,0.2547,0.8064,app,hold,,below_trigger(rho=0.255)
1789302144.000,34.042,190.715,4.0448,763.298,0.2499,0.8064,app,hold,,below_trigger(rho=0.250)
1789302146.002,36.044,190.715,4.0448,773.448,0.2466,0.8064,app,hold,,below_trigger(rho=0.247)
1789302148.005,38.047,190.715,4.0448,780.553,0.2443,0.8064,app,hold,,below_trigger(rho=0.244)
1789302150.007,40.049,231.289,3.9813,783.043,0.2954,0.7966,app,hold,,below_trigger(rho=0.295)
1789302152.011,42.053,231.289,3.9813,784.786,0.2947,0.7966,app,hold,,below_trigger(rho=0.295)
1789302154.012,44.053,231.289,3.9813,786.006,0.2943,0.7966,app,hold,,below_trigger(rho=0.294)
