scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S5,local,50,50.000,3.5932,13.8051
S5,local,100,100.033,3.2799,16.7370
S5,local,150,150.033,6.1130,99.1380
S5,local,200,121.300,1255.3229,13954.5008
S5,local,250,56.133,7999.5369,16542.5306
S5,local,300,63.100,6260.3430,17490.9894
S5,local,350,307.700,1076.7764,6358.8843
S5,local,400,232.867,3041.7622,11131.8572
S5,local,450,106.967,2590.4493,8106.0509
S5,local,500,137.033,0.0000,0.0000
S5,local,550,138.667,0.0000,0.0000
S5,local,600,3.633,0.0000,0.0000
S5,local,650,114.133,0.0000,0.0000
S5,local,700,92.400,0.0000,0.0000
S5,local,750,57.567,0.0000,0.0000
S5,local,800,187.433,0.0000,0.0000
S5,local,850,102.967,0.0000,0.0000
S5,local,900,257.133,55.6809,0.0000
S5,local,950,266.167,409.5533,22073.1476
S5,local,1000,294.333,163.5476,0.0000
