# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789302176.697547,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,130.327,
1789302178.1003468,service-a-deployment-6b79bf9989-4nvrm,service-a,366.445,3.239935
1789302178.3465102,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,136.679,
1789302179.766457,service-a-deployment-6b79bf9989-4nvrm,service-a,371.960,3.080191
1789302180.0095518,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,150.730,
1789302181.461628,service-a-deployment-6b79bf9989-4nvrm,service-a,437.306,4.329471
1789302181.731423,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,177.440,
1789302183.159756,service-a-deployment-6b79bf9989-4nvrm,service-a,409.464,3.893247
1789302183.4190662,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,153.559,
1789302184.812164,service-a-deployment-6b79bf9989-4nvrm,service-a,373.096,3.317759
1789302185.065537,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,141.356,
1789302186.510178,service-a-deployment-6b79bf9989-4nvrm,service-a,387.794,3.137535
1789302186.738749,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,145.895,
1789302188.130174,service-a-deployment-6b79bf9989-4nvrm,service-a,372.782,3.919871
1789302188.4089391,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,154.148,
1789302189.838219,service-a-deployment-6b79bf9989-4nvrm,service-a,392.565,3.596287
1789302190.081874,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,150.653,
1789302191.471929,service-a-deployment-6b79bf9989-4nvrm,service-a,405.188,4.188159
1789302191.788571,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,152.196,
1789302193.4233909,service-a-deployment-6b79bf9989-4nvrm,service-a,537.312,20.004863
1789302193.7423308,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,291.122,
1789302195.284495,service-a-deployment-6b79bf9989-4nvrm,service-a,462.867,4.222975
1789302195.60002,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,183.846,
1789302196.99936,service-a-deployment-6b79bf9989-4nvrm,service-a,450.051,4.059135
1789302197.236383,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,179.268,
1789302198.6414878,service-a-deployment-6b79bf9989-4nvrm,service-a,437.274,3.661823
1789302198.8793228,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,168.528,
1789302200.3734028,service-a-deployment-6b79bf9989-4nvrm,service-a,494.993,4.644863
1789302200.8675961,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,252.397,
1789302202.276989,service-a-deployment-6b79bf9989-4nvrm,service-a,470.434,8.708095
1789302202.836749,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,178.901,
