
         /\      Grafana   /‾‾/  
    /\  /  \     |\  __   /  /   
   /  \/    \    | |/ /  /   ‾‾\ 
  /          \   |   (  |  (‾)  |
 / __________ \  |_|\_\  \_____/ 


     execution: local
        script: /Users/katha/Desktop/EliteLabIndividual_Research/testbedForFinApiZTA/psao-artifact/experiments/k6/openloop-ramp.js
        output: -

time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:07+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"

running (0m02.0s), 000/025 VUs, 95 complete and 0 interrupted iterations
step_00050   [   1% ] 000/025 VUs  0m02.0s/3m0s  50.00 iters/s
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
