scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S5,local,20,20.033,4.4953,9.0780,49.505,14.778,3.165
S5,local,40,40.033,3.7438,9.1650,71.118,21.876,3.300
S5,local,60,60.033,3.2732,8.2050,88.887,26.245,3.145
S5,local,80,80.033,3.1076,9.0380,106.855,33.923,3.095
S5,local,100,100.000,2.8432,7.7784,118.694,36.937,3.039
S5,local,120,120.000,3.6652,30.8350,147.326,48.584,3.771
S5,local,140,140.033,3.6454,25.6090,181.654,56.406,4.176
S5,local,160,160.033,2.4545,7.6570,153.869,48.247,3.214
S5,local,180,180.033,2.4236,9.2030,170.094,52.774,3.378
S5,local,200,200.000,2.5533,10.8339,179.771,58.206,3.317
S5,local,220,220.033,2.3531,7.6410,193.633,61.788,3.226
S5,local,240,240.033,2.4286,10.7420,206.916,65.960,3.350
S5,local,260,260.033,2.3067,8.8110,217.495,70.322,3.020
S5,local,280,280.033,2.3250,9.8510,229.451,74.052,3.553
S5,local,300,300.033,2.3814,12.6220,248.409,78.137,3.519
S5,local,320,320.000,2.3926,11.1612,260.197,83.600,3.249
S5,local,340,340.000,2.2633,9.2999,272.366,85.369,3.198
S5,local,360,360.033,2.5481,14.8050,297.963,96.303,3.337
S5,local,380,380.033,2.3435,10.1550,306.445,97.662,3.463
S5,local,400,400.033,2.6636,15.6760,321.701,103.438,3.688
