scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S5,local,20,20.033,4.4953,9.0780
S5,local,40,40.033,3.7438,9.1650
S5,local,60,60.033,3.2732,8.2050
S5,local,80,80.033,3.1076,9.0380
S5,local,100,100.000,2.8432,7.7784
S5,local,120,120.000,3.6652,30.8350
S5,local,140,140.033,3.6454,25.6090
S5,local,160,160.033,2.4545,7.6570
S5,local,180,180.033,2.4236,9.2030
S5,local,200,200.000,2.5533,10.8339
S5,local,220,220.033,2.3531,7.6410
S5,local,240,240.033,2.4286,10.7420
S5,local,260,260.033,2.3067,8.8110
S5,local,280,280.033,2.3250,9.8510
S5,local,300,300.033,2.3814,12.6220
S5,local,320,320.000,2.3926,11.1612
S5,local,340,340.000,2.2633,9.2999
S5,local,360,360.033,2.5481,14.8050
S5,local,380,380.033,2.3435,10.1550
S5,local,400,400.033,2.6636,15.6760
